# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	30590	31510	-	EEGGAC_00035	474.0	1.8e-167	0.990	0.842	0.772	UniRef:UniRef50_A0A0R1LJX2
contig_1	cds	31667	32593	+	EEGGAC_00036	334.0	2.7e-112	0.974	0.831	0.533	UniRef:UniRef50_B4SNV2
contig_1	cds	32818	33711	+	EEGGAC_00037	361.0	1.2e-123	1.0	0.920	0.572	UniRef:UniRef50_B1K1N5
contig_1	cds	33742	34731	-	EEGGAC_00038	416.0	4.5e-144	1.0	0.880	0.629	UniRef:UniRef50_A0A0P0G529
contig_1	cds	34758	35609	-	EEGGAC_00039	330.0	9.0e-112	0.982	0.869	0.576	UniRef:UniRef50_C8P8B3
contig_1	cds	36175	40428	+	EEGGAC_00040	-	-	0.999	0.999	0.924	NCBIProtein:ABE05822.1
contig_1	cds	40549	41406	-	EEGGAC_00041	-	-	-	-	-	-
contig_1	cds	41654	42523	+	EEGGAC_00042	517.0	1.5e-185	0.997	0.917	0.854	UniRef:UniRef50_A0A066SX16
contig_1	cds	42683	43276	-	EEGGAC_00043	389.0	1.2e-140	1.0	1.0	0.995	BlastRules:WP_001299021
contig_1	cds	43633	44958	-	EEGGAC_00044	847.0	1.0e-310	1.095	1.0	0.911	UniRef:UniRef50_P77212
contig_1	cds	45185	46039	+	EEGGAC_00045	565.0	2.1e-207	1.0	1.0	0.993	BlastRules:WP_000339594
contig_1	cds	46567	47286	+	EEGGAC_00046	401.0	3.6e-142	0.866	0.941	0.947	UniRef:UniRef50_A0A377DHN6
contig_1	cds	47297	48724	+	EEGGAC_00047	636.0	1.3e-226	0.981	0.930	0.655	UniRef:UniRef50_P77536
contig_1	cds	48717	49412	+	EEGGAC_00048	439.0	4.0e-156	1.0	0.819	0.983	UniRef:UniRef50_P77433
contig_1	cds	49655	50323	-	EEGGAC_00049	406.0	5.7e-144	1.086	1.0	0.880	UniRef:UniRef50_P77180
contig_1	cds	50534	52204	-	EEGGAC_00050	927.0	0.0	0.982	0.819	0.802	UniRef:UniRef50_P17444
contig_1	cds	52218	53690	-	EEGGAC_00051	780.0	3.7e-282	1.141	1.0	0.735	UniRef:UniRef50_P17445
contig_1	cds	53704	54291	-	EEGGAC_00052	217.0	4.9e-70	0.985	0.831	0.583	UniRef:UniRef50_P17446
contig_1	cds	54420	56453	+	EEGGAC_00053	1335.0	0.0	1.0	1.0	1.0	BlastRules:WP_000131044
contig_1	cds	57330	58418	+	EEGGAC_00054	721.0	1.7e-266	1.0	1.0	0.989	BlastRules:WP_001301264
contig_1	cds	58460	59392	-	EEGGAC_00055	566.0	4.0e-204	0.994	0.885	0.909	UniRef:UniRef50_P77700
contig_1	cds	59484	59981	-	EEGGAC_00056	307.0	6.6e-107	0.970	0.894	0.975	UniRef:UniRef50_P77219
contig_1	cds	60239	60844	+	EEGGAC_00057	-	-	-	-	-	-
contig_1	cds	60884	61747	+	EEGGAC_00058	562.0	9.9e-204	1.0	0.947	0.955	UniRef:UniRef50_P77297
contig_1	cds	61737	63284	+	EEGGAC_00059	790.0	5.3e-286	1.0	0.972	0.796	UniRef:UniRef50_P77187
contig_1	cds	63284	64702	+	EEGGAC_00060	679.0	1.5e-243	0.972	0.918	0.717	UniRef:UniRef50_P77221
contig_1	cds	64798	65748	+	EEGGAC_00061	588.0	3.8e-212	1.184	1.0	0.834	UniRef:UniRef50_P77624
contig_1	cds	65758	67140	+	EEGGAC_00062	707.0	3.4e-255	0.987	0.950	0.773	UniRef:UniRef50_A0A379ZWW9
contig_1	cds	67435	67845	+	EEGGAC_00063	-	-	-	-	-	-
contig_1	cds	68096	69082	+	EEGGAC_00064	597.0	6.2e-216	0.997	0.903	0.920	UniRef:UniRef50_A0A380VJB1
contig_1	cds	69131	70615	+	EEGGAC_00065	803.0	6.4e-292	1.024	1.0	0.802	UniRef:UniRef50_A0A0C7KHI6
contig_1	cds	70608	71579	+	EEGGAC_00066	367.0	1.8e-125	0.963	0.928	0.585	UniRef:UniRef50_B0TNT6
contig_1	cds	71576	72532	+	EEGGAC_00067	549.0	2.9e-197	0.928	0.868	0.993	UniRef:UniRef50_A0A263HC51
contig_1	cds	72619	73668	+	EEGGAC_00068	706.0	7.6e-261	1.0	1.0	0.989	BlastRules:WP_000692754
contig_1	cds	73911	74726	+	EEGGAC_00069	556.0	1.3e-201	1.0	0.931	0.985	UniRef:UniRef50_P77393
contig_1	cds	75575	76033	-	EEGGAC_00070	-	-	-	-	-	-
contig_1	cds	76219	76494	+	EEGGAC_00071	161.0	2.7e-51	1.0	0.835	0.945	UniRef:UniRef50_B7LMM4
contig_1	cds	76595	78181	-	EEGGAC_00072	537.0	5.7e-186	1.015	0.989	0.515	UniRef:UniRef50_L8XYI4
contig_1	cds	78420	79310	+	EEGGAC_00073	329.0	1.1e-110	0.993	0.845	0.565	UniRef:UniRef50_Q8EJW1
contig_1	cds	79256	79795	-	EEGGAC_00074	-	-	-	-	-	-
contig_1	ncRNA	79397	79468	+	EEGGAC_00075	67.3	1.4e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	79490	79561	+	EEGGAC_00076	67.3	1.4e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	79583	79654	+	EEGGAC_00077	63.1	7.9e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	79676	79747	+	EEGGAC_00078	61.3	1.7e-08	-	-	-	RFAM:RF02564
contig_1	cds	79843	81012	+	EEGGAC_00079	605.0	5.2e-217	0.964	0.915	0.776	UniRef:UniRef50_A0A157SL74
contig_1	cds	81046	82497	+	EEGGAC_00080	916.0	0.0	1.0	1.0	0.938	BlastRules:WP_001272709
contig_1	cds	82537	84423	+	EEGGAC_00081	1265.0	0.0	1.006	1.0	0.991	UniRef:UniRef50_A0A922YQK8
contig_1	ncRNA	84521	84597	+	EEGGAC_00082	72.4	1.6e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	84615	84691	+	EEGGAC_00083	71.4	2.5e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	84709	84785	+	EEGGAC_00084	70.7	3.4e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	84803	84879	+	EEGGAC_00085	70.7	3.4e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	84897	84973	+	EEGGAC_00086	71.4	2.5e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	84991	85067	+	EEGGAC_00087	70.7	3.4e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	85085	85161	+	EEGGAC_00088	70.9	3.0e-10	-	-	-	RFAM:RF02564
contig_1	cds	85324	86583	+	EEGGAC_00089	768.0	8.6e-280	1.010	0.883	0.939	UniRef:UniRef50_P0AA82
contig_1	cds	86573	87856	+	EEGGAC_00090	862.0	0.0	1.0	1.0	0.993	BlastRules:WP_001301240
contig_1	cds	87989	88888	-	EEGGAC_00091	286.0	1.6e-94	0.950	0.913	0.518	UniRef:UniRef50_A0A1U6GKJ7
contig_1	cds	88998	89657	+	EEGGAC_00092	401.0	1.2e-144	1.0	1.0	0.995	BlastRules:WP_000658652
contig_1	cds	89688	90158	+	EEGGAC_00093	300.0	4.3e-104	1.0	0.897	0.994	UniRef:UniRef50_P00816
contig_1	cds	90164	91345	+	EEGGAC_00094	725.0	5.7e-267	0.977	1.0	0.987	BlastRules:WP_000927953
contig_1	cds	91433	92044	-	EEGGAC_00095	406.0	1.1e-144	1.0	0.894	0.970	UniRef:UniRef50_P07464
contig_1	cds	92110	93363	-	EEGGAC_00096	796.0	4.7e-294	1.0	1.0	1.0	BlastRules:WP_000291549
contig_1	cds	93415	96489	-	EEGGAC_00097	2120.0	0.0	1.0	1.0	0.980	BlastRules:WP_000177906
contig_1	cds	96612	97703	-	EEGGAC_00098	666.0	1.0e-244	0.989	0.997	0.986	BlastRules:WP_000805902
contig_1	cds	97771	98718	-	EEGGAC_00099	598.0	8.1e-217	0.975	0.903	1.0	UniRef:UniRef50_P77569
contig_1	cds	98795	100459	+	EEGGAC_00100	602.0	2.8e-209	1.020	0.857	0.535	UniRef:UniRef50_P77397
contig_1	cds	100461	101405	+	EEGGAC_00101	568.0	5.2e-205	1.070	1.0	0.863	UniRef:UniRef50_P0ABR9
contig_1	cds	101423	102289	+	EEGGAC_00102	590.0	3.6e-217	1.0	1.0	0.993	BlastRules:WP_000121907
contig_1	cds	102299	103108	+	EEGGAC_00103	276.0	2.5e-91	0.993	0.985	0.536	UniRef:UniRef50_M7MUZ7
contig_1	cds	103105	104055	+	EEGGAC_00104	600.0	3.4e-220	1.0	1.0	0.997	BlastRules:WP_000044314
contig_1	cds	104052	105065	+	EEGGAC_00105	511.0	1.9e-182	0.994	1.106	0.800	UniRef:UniRef50_A0A378B201
contig_1	cds	105241	106452	+	EEGGAC_00106	456.0	2.8e-157	1.171	0.992	0.589	UniRef:UniRef50_A0A0C7KG31
contig_1	cds	106553	107092	+	EEGGAC_00107	213.0	8.8e-69	1.0	0.856	0.670	UniRef:UniRef50_A0A0U5GKZ0
contig_1	cds	107217	108050	-	EEGGAC_00108	451.0	4.1e-161	0.809	1.0	0.960	UniRef:UniRef50_A0A376L0M3
contig_1	cds	108142	109251	-	EEGGAC_00109	742.0	2.4e-274	1.0	1.0	0.995	BlastRules:WP_000842106
contig_1	cds	109286	109561	-	EEGGAC_00110	94.7	6.8e-25	1.055	0.842	0.510	UniRef:UniRef50_M1RUU9
contig_1	cds	109749	110522	-	EEGGAC_00111	317.0	9.3e-108	1.012	0.996	0.538	UniRef:UniRef50_R8WZ25
contig_1	cds	111083	112279	-	EEGGAC_00112	749.0	1.7e-273	1.126	1.0	0.857	UniRef:UniRef50_Q47536
contig_1	cds	112289	112960	-	EEGGAC_00113	263.0	1.4e-87	1.0	0.945	0.619	UniRef:UniRef50_P71311
contig_1	cds	113569	114531	+	EEGGAC_00114	454.0	2.0e-159	0.978	0.887	0.744	UniRef:UniRef50_Q47537
contig_1	cds	114544	115311	+	EEGGAC_00115	312.0	1.3e-105	0.996	0.891	0.638	UniRef:UniRef50_Q47538
contig_1	cds	115308	116135	+	EEGGAC_00116	310.0	5.1e-105	0.876	1.0	0.784	UniRef:UniRef50_A0A2X3FUS7
contig_1	cds	116132	116983	+	EEGGAC_00117	475.0	1.0e-168	0.986	0.811	0.785	UniRef:UniRef50_Q88RA3
contig_1	cds	117023	117997	-	EEGGAC_00118	596.0	3.0e-215	1.0	0.873	0.935	UniRef:UniRef50_P0ACB2
contig_1	cds	118523	121429	+	EEGGAC_00119	1487.0	0.0	1.152	1.009	0.727	UniRef:UniRef50_P77199
contig_1	cds	121515	122138	+	EEGGAC_00120	400.0	6.9e-142	0.966	0.851	0.995	UniRef:UniRef50_Q8ZRF7
contig_1	cds	122139	123296	-	EEGGAC_00121	612.0	2.8e-221	0.808	0.975	0.990	UniRef:UniRef50_A0A485AFX9
contig_1	cds	123342	123443	-	EEGGAC_00122	64.3	8.9e-15	1.0	1.0	1.0	UniRef:UniRef50_A0A658Z4P2
contig_1	cds	123648	124868	+	EEGGAC_00123	500.0	1.6e-174	0.998	0.853	0.622	UniRef:UniRef50_Q08120
contig_1	cds	124881	125975	+	EEGGAC_00124	706.0	3.5e-260	1.0	1.0	0.989	BlastRules:WP_000092067
contig_1	cds	126033	126341	-	EEGGAC_00125	205.0	1.4e-68	1.0	0.895	0.980	UniRef:UniRef50_A0A2S4MUA2
contig_1	cds	126601	126813	+	EEGGAC_00126	147.0	1.5e-46	1.0	1.0	0.986	UniRef:UniRef50_A0A854BRN6
contig_1	cds	127016	128110	-	EEGGAC_00127	476.0	1.7e-166	0.992	0.883	0.659	UniRef:UniRef50_P0A1F0
contig_1	cds	128572	128832	+	EEGGAC_00128	133.0	1.8e-40	0.988	0.810	0.871	UniRef:UniRef50_P0AAN9
contig_1	cds	128932	130347	+	EEGGAC_00129	510.0	2.3e-176	1.017	0.894	0.570	UniRef:UniRef50_A0A5P1UTU4
contig_1	cds	130466	130786	+	EEGGAC_00130	-	-	-	-	-	-
contig_1	cds	130888	132003	+	EEGGAC_00131	613.0	5.4e-221	0.992	0.922	0.829	UniRef:UniRef50_P0AAP1
contig_1	cds	132020	132829	-	EEGGAC_00132	501.0	1.0e-179	0.981	0.830	0.996	UniRef:UniRef50_P0A9L8
contig_1	cds	132949	133407	+	EEGGAC_00133	176.0	1.5e-55	0.928	0.855	0.603	UniRef:UniRef50_A0KFQ0
contig_1	cds	133590	134114	+	EEGGAC_00134	185.0	2.8e-58	0.989	0.882	0.517	UniRef:UniRef50_Q8ZC15
contig_1	cds	134164	134355	+	EEGGAC_00135	132.0	1.2e-40	1.0	0.818	1.0	UniRef:UniRef50_P0AAN5
contig_1	cds	134613	135290	+	EEGGAC_00136	258.0	1.7e-85	0.987	0.921	0.595	UniRef:UniRef50_P0AE28
contig_1	cds	135362	135646	+	EEGGAC_00137	164.0	1.5e-52	1.0	0.817	0.862	UniRef:UniRef50_P0C037
contig_1	cds	135750	135932	-	EEGGAC_00138	123.0	3.4e-37	1.0	0.800	0.967	UniRef:UniRef50_A0A0K4C8M6
contig_1	cds	136293	137270	-	EEGGAC_00139	365.0	1.8e-124	0.954	0.864	0.584	UniRef:UniRef50_Q9KU12
contig_1	cds	137329	138237	+	EEGGAC_00140	558.0	4.9e-201	1.0	0.863	0.904	UniRef:UniRef50_P23917
contig_1	cds	138380	139648	-	EEGGAC_00141	743.0	1.3e-270	1.043	1.0	0.959	UniRef:UniRef50_P23910
contig_1	cds	139690	142833	-	EEGGAC_00142	1757.0	0.0	1.012	1.0	0.948	UniRef:UniRef50_P13458
contig_1	cds	142830	144032	-	EEGGAC_00143	483.0	9.2e-168	1.005	0.824	0.614	UniRef:UniRef50_Q080L8
contig_1	cds	144222	144911	+	EEGGAC_00144	272.0	1.5e-90	1.026	0.890	0.574	UniRef:UniRef50_A0A1G5SHH9
contig_1	cds	144969	146264	+	EEGGAC_00145	636.0	5.3e-228	0.988	0.949	0.735	UniRef:UniRef50_A0A2A2MAD3
contig_1	cds	146671	147990	+	EEGGAC_00146	669.0	8.2e-241	0.989	0.948	0.781	UniRef:UniRef50_P0AD99
contig_1	cds	148066	149439	+	EEGGAC_00147	740.0	7.2e-268	0.972	0.892	0.838	UniRef:UniRef50_O34618
contig_1	cds	149595	151412	+	EEGGAC_00148	967.0	0.0	0.995	0.960	0.731	UniRef:UniRef50_P21517
contig_1	cds	151601	153070	+	EEGGAC_00149	910.0	0.0	1.0	0.950	1.0	UniRef:UniRef50_D3GU96
contig_1	cds	153091	153672	-	EEGGAC_00150	237.0	2.5e-78	1.0	0.990	0.591	UniRef:UniRef50_A0A068QZ51
contig_1	cds	153891	154961	+	EEGGAC_00151	660.0	6.0e-240	0.992	0.901	0.929	UniRef:UniRef50_P0A7F9
contig_1	cds	155017	156144	+	EEGGAC_00152	589.0	6.3e-211	0.992	0.875	0.739	UniRef:UniRef50_Q9HXH9
contig_1	cds	156167	156499	+	EEGGAC_00153	189.0	1.3e-61	1.0	0.833	0.864	UniRef:UniRef50_P57234
contig_1	cds	156560	158374	+	EEGGAC_00154	894.0	0.0	0.937	0.867	0.834	UniRef:UniRef50_P0AG90
contig_1	cds	158385	159356	+	EEGGAC_00155	536.0	2.0e-192	1.0	1.0	0.848	UniRef:UniRef50_A0A0J1H7N9
contig_1	cds	159485	159832	+	EEGGAC_00156	246.0	2.0e-86	1.0	1.0	1.0	BlastRules:WP_000974813
contig_1	cds	159870	160754	-	EEGGAC_00157	632.0	1.4e-233	1.0	1.0	1.0	BlastRules:WP_001295328
contig_1	cds	161053	161592	-	EEGGAC_00158	251.0	3.0e-84	0.983	0.921	0.744	UniRef:UniRef50_A0A090VTP6
contig_1	cds	161743	162192	+	EEGGAC_00159	219.0	1.9e-72	0.987	0.870	0.714	UniRef:UniRef50_A0A520MCV7
contig_1	cds	162196	163299	+	EEGGAC_00160	719.0	9.4e-263	0.997	0.910	0.978	UniRef:UniRef50_P25539
contig_1	cds	163388	163858	+	EEGGAC_00161	292.0	5.5e-101	1.0	0.830	1.0	UniRef:UniRef50_P66038
contig_1	cds	163878	164297	+	EEGGAC_00162	214.0	1.0e-70	1.0	0.908	0.791	UniRef:UniRef50_Q0VMI0
contig_1	cds	164375	165352	+	EEGGAC_00163	563.0	3.8e-202	0.997	0.876	0.830	UniRef:UniRef50_P0AGG0
contig_1	cds	165330	165845	+	EEGGAC_00164	301.0	2.5e-104	0.936	0.838	0.819	UniRef:UniRef50_P18200
contig_1	cds	166022	167593	-	EEGGAC_00165	802.0	9.7e-291	1.031	1.0	0.842	UniRef:UniRef50_A0A9Q6ZFC8
contig_1	cds	167824	168798	-	EEGGAC_00166	644.0	2.7e-237	1.0	1.0	0.997	BlastRules:WP_001199800
contig_1	cds	168853	170715	-	EEGGAC_00167	1033.0	0.0	1.111	0.999	0.749	UniRef:UniRef50_P77488
contig_1	cds	170740	171639	-	EEGGAC_00168	442.0	9.6e-157	0.853	1.0	0.894	UniRef:UniRef50_A0A447U8U7
contig_1	cds	171639	171881	-	EEGGAC_00169	131.0	6.9e-40	1.0	0.920	0.875	UniRef:UniRef50_Q7VLU0
contig_1	cds	172087	173535	+	EEGGAC_00170	795.0	3.6e-288	1.0	0.872	0.826	UniRef:UniRef50_P77718
contig_1	cds	173589	174179	-	EEGGAC_00171	237.0	5.6e-78	1.005	0.872	0.619	UniRef:UniRef50_A0A7S4LVP5
contig_1	cds	174142	175053	-	EEGGAC_00172	407.0	1.4e-141	0.977	0.855	0.666	UniRef:UniRef50_P0A9J4
contig_1	cds	175221	175712	+	EEGGAC_00173	308.0	2.0e-109	1.0	1.0	1.0	BlastRules:WP_001138904
contig_1	cds	175840	177204	-	EEGGAC_00174	730.0	2.0e-263	0.993	0.848	0.823	UniRef:UniRef50_P77726
contig_1	cds	177353	178243	-	EEGGAC_00175	460.0	5.2e-164	0.818	1.0	0.963	UniRef:UniRef50_A0A3S4HY77
contig_1	cds	178255	178584	-	EEGGAC_00176	213.0	5.0e-71	1.0	0.801	1.0	UniRef:UniRef50_F0KHU8
contig_1	cds	178584	179198	-	EEGGAC_00177	356.0	5.3e-125	1.015	1.0	0.841	UniRef:UniRef50_H6Q5G4
contig_1	cds	179188	181179	-	EEGGAC_00178	903.0	0.0	0.982	0.976	0.670	UniRef:UniRef50_A0A363RR81
contig_1	cds	181201	182148	-	EEGGAC_00179	404.0	3.8e-140	0.997	0.905	0.643	UniRef:UniRef50_A0A345P4Z2
contig_1	cds	182608	184083	-	EEGGAC_00180	663.0	2.4e-236	0.927	0.855	0.723	UniRef:UniRef50_P0AE16
contig_1	cds	184127	184705	-	EEGGAC_00181	332.0	1.7e-115	1.0	0.817	0.901	UniRef:UniRef50_A0A090V5P2
contig_1	cds	185013	185327	+	EEGGAC_00182	113.0	8.2e-32	0.981	0.810	0.549	UniRef:UniRef50_Q56585
contig_1	cds	185671	186969	+	EEGGAC_00183	419.0	1.3e-142	0.988	0.941	0.508	UniRef:UniRef50_Q2SK37
contig_1	cds	187215	187838	+	EEGGAC_00184	295.0	4.0e-101	0.870	0.942	0.828	UniRef:UniRef50_A0A377AYX4
contig_1	cds	187964	189238	+	EEGGAC_00185	602.0	9.9e-215	0.969	0.895	0.737	UniRef:UniRef50_Q1QVW2
contig_1	ncRNA	189259	189354	-	EEGGAC_00186	106.8	3.9e-17	-	-	-	RFAM:RF02029
contig_1	cds	189426	191780	+	EEGGAC_00187	1027.0	0.0	0.977	0.956	0.695	UniRef:UniRef50_B0TZA7
contig_1	cds	191989	192261	+	EEGGAC_00188	97.4	4.7e-26	0.967	0.813	0.586	UniRef:UniRef50_C1DGL7
contig_1	cds	192453	194324	+	EEGGAC_00189	742.0	4.9e-262	0.994	0.821	0.690	UniRef:UniRef50_P0ADY1
contig_1	cds	194475	194846	+	EEGGAC_00190	193.0	7.4e-63	1.008	0.844	0.887	UniRef:UniRef50_P0AAR8
contig_1	cds	194940	195338	+	EEGGAC_00191	257.0	2.6e-90	1.0	1.0	0.992	BlastRules:WP_001194534
contig_1	cds	195390	196085	-	EEGGAC_00192	324.0	1.1e-111	1.0	0.996	0.680	UniRef:UniRef50_W0P0R1
contig_1	cds	196150	197850	-	EEGGAC_00193	961.0	0.0	0.998	0.950	0.807	UniRef:UniRef50_P46890
contig_1	cds	197950	198768	+	EEGGAC_00194	491.0	7.0e-176	0.901	0.822	0.984	UniRef:UniRef50_A0A485B2X5
contig_1	cds	198921	199379	+	EEGGAC_00195	303.0	4.1e-108	1.0	1.0	1.0	BlastRules:WP_000884589
contig_1	cds	199409	201181	+	EEGGAC_00196	823.0	4.9e-299	0.802	0.998	0.896	UniRef:UniRef50_A0A376VLX3
contig_1	cds	201174	202955	+	EEGGAC_00197	971.0	0.0	1.0	0.921	0.867	UniRef:UniRef50_P0AAG5
contig_1	cds	203136	203474	+	EEGGAC_00198	158.0	2.0e-49	1.027	0.816	0.670	UniRef:UniRef50_A0A2D4VJR3
contig_1	cds	203504	204790	+	EEGGAC_00199	529.0	8.5e-186	0.939	0.876	0.657	UniRef:UniRef50_A0A380APN2
contig_1	cds	204839	205699	-	EEGGAC_00200	368.0	8.8e-127	0.997	0.925	0.635	UniRef:UniRef50_A0A2C6DMS5
contig_1	cds	205917	206489	+	EEGGAC_00201	280.0	2.0e-95	1.005	0.936	0.822	UniRef:UniRef50_P77717
contig_1	cds	206520	206831	-	EEGGAC_00202	-	-	-	-	-	-
contig_1	ncRNA	206994	207090	+	EEGGAC_00203	67.7	3.7e-11	-	-	-	RFAM:RF00169
contig_1	cds	207210	207563	+	EEGGAC_00204	236.0	5.8e-80	1.0	0.830	1.0	UniRef:UniRef50_P0AAQ6
contig_1	cds	207605	209155	-	EEGGAC_00205	1023.0	0.0	1.0	1.0	0.988	BlastRules:WP_001310610
contig_1	cds	209319	209789	-	EEGGAC_00206	228.0	1.4e-75	0.904	0.801	0.801	UniRef:UniRef50_P0AAS0
contig_1	cds	209905	210456	-	EEGGAC_00207	335.0	4.8e-117	1.0	0.821	0.973	UniRef:UniRef50_P77791
contig_1	cds	210628	210846	-	EEGGAC_00208	143.0	6.3e-45	1.0	0.837	0.972	UniRef:UniRef50_Q7CR17
contig_1	cds	210872	211246	-	EEGGAC_00209	154.0	6.4e-48	0.903	0.991	0.643	UniRef:UniRef50_A0A7G2IKV2
contig_1	cds	211792	214941	-	EEGGAC_00210	1976.0	0.0	1.0	1.0	0.999	BlastRules:WP_001132469
contig_1	cds	214964	216157	-	EEGGAC_00211	742.0	2.2e-273	1.0	1.0	0.997	BlastRules:WP_001039202
contig_1	cds	216299	216946	+	EEGGAC_00212	415.0	3.0e-150	1.0	1.0	0.986	BlastRules:WP_000101745
contig_1	cds	217074	220436	+	EEGGAC_00213	1874.0	0.0	0.999	0.812	0.885	UniRef:UniRef50_P77338
contig_1	cds	220475	220639	-	EEGGAC_00214	62.4	2.2e-13	1.0	0.915	0.648	UniRef:UniRef50_P45807
