#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	373893	374135	-	EEGGAC_00361	9.3	9.5		
contig_1	375598	375798	-	EEGGAC_00363	7.4	4.7		SO:0001217, UniRef:UniRef50_A0A376VLB4
contig_1	377910	378188	-	EEGGAC_00367	9.8	9.5		SO:0001217, UniRef:UniRef50_A0A0Q3BLP0
contig_1	379356	379670	-	EEGGAC_00369	11.1	8.5	PF13665.11|Tox-PAAR-like	PFAM:PF13665.11
contig_1	379724	380764	-	EEGGAC_00370	39.1	5.3		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_1	380876	381916	-	EEGGAC_00371	39.5	5.4		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_1	381942	382241	-	EEGGAC_00372	10.8	5.5		
contig_1	394653	395036	-	EEGGAC_00382	14.7	8.7		
contig_1	396545	396721	+	EEGGAC_00385	6.7	4.8		SO:0001217, UniRef:UniRef50_A0A377B3K0
contig_1	430004	430093	-	EEGGAC_00417	3.3	4.5		
contig_1	445627	445830	+	EEGGAC_00434	7.0	9.0		
contig_1	462253	463230	-	EEGGAC_00451	37.0	4.8	PF08238.18|Sel1, PF23310.1|TPR_27	PFAM:PF08238.18, PFAM:PF23310.1
contig_1	465535	466089	-	EEGGAC_00454	21.0	9.5	PF08238.18|Sel1	PFAM:PF08238.18
contig_1	482953	483216	+	EEGGAC_00477	9.6	6.7		
contig_1	527405	527512	-	EEGGAC_00518	3.8	9.1		
contig_1	550025	550447	-	EEGGAC_00540	15.7	4.7		SO:0001217, UniRef:UniRef50_A0A0K4B1W9
contig_1	555016	555129	+	EEGGAC_00544	4.0	4.4		
contig_1	565717	566097	-	EEGGAC_00563	12.9	4.6		
contig_1	601446	601835	+	EEGGAC_00597	14.6	8.6		
contig_1	664200	664529	-	EEGGAC_00655	12.0	9.3	PF01381.28|HTH_3	PFAM:PF01381.28, SO:0001217, UniRef:UniRef50_H3RLU2
contig_1	664519	664905	-	EEGGAC_00656	14.3	9.3	PF06296.18|RelE	PFAM:PF06296.18
contig_1	695606	696121	-	EEGGAC_00691	18.9	6.4	PF12883.13|DUF3828	PFAM:PF12883.13
contig_1	786768	786941	+	EEGGAC_00759	6.8	6.7		
contig_1	803394	803561	+	EEGGAC_00775	6.5	10.9		
contig_1	846650	846823	+	EEGGAC_00819	5.9	9.9		
contig_1	859355	860698	-	EEGGAC_00831	50.4	8.8		SO:0001217, UniRef:UniRef50_A0A3S4LJC3
contig_1	861707	861853	-	EEGGAC_00832	5.9	9.3		SO:0001217, UniRef:UniRef50_Q8X465
contig_1	874348	874803	+	EEGGAC_00849	15.9	9.6	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	874844	875299	+	EEGGAC_00850	15.0	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	875811	876122	+	EEGGAC_00852	11.2	8.6		
contig_1	956779	957048	-	EEGGAC_00938	10.2	9.3	PF07825.17|Exc	PFAM:PF07825.17
contig_1	961428	961802	-	EEGGAC_00946	14.1	5.9		SO:0001217, UniRef:UniRef50_A0A0H0P8S9
contig_1	962657	962884	+	EEGGAC_00949	8.2	9.8	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_1	968049	969035	+	EEGGAC_00960	36.3	5.1		
contig_1	969156	969335	+	EEGGAC_00961	7.0	7.8		
contig_1	974234	974395	+	EEGGAC_00973	5.6	5.5		
contig_1	976418	976564	+	EEGGAC_00977	5.1	9.7		
contig_1	977940	978293	-	EEGGAC_00981	13.4	9.0		SO:0001217, UniRef:UniRef50_A0A0A2RHB5
contig_1	1010744	1010845	-	EEGGAC_01014	3.9	10.0		
contig_1	1019144	1019335	-	EEGGAC_01026	6.9	5.2		
contig_1	1021326	1021469	-	EEGGAC_01031	5.5	9.6		
contig_1	1021438	1021602	-	EEGGAC_01032	6.0	9.0		
contig_1	1022304	1022885	+	EEGGAC_01034	22.5	8.4		
contig_1	1023653	1024552	-	EEGGAC_01036	32.2	5.4		SO:0001217, UniRef:UniRef50_B7ULR7
contig_1	1057423	1057716	+	EEGGAC_01078	10.9	6.2		SO:0001217, UniRef:UniRef50_A0A096FDA3
contig_1	1063528	1063914	+	EEGGAC_01084	14.8	4.4		
contig_1	1064037	1064192	+	EEGGAC_01085	5.9	10.1		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_1	1072569	1073552	+	EEGGAC_01095	35.1	4.7		
contig_1	1075626	1075910	-	EEGGAC_01098	8.7	10.5	PF13441.11|Gly-zipper_YMGG, PF13488.11|Gly-zipper_Omp	PFAM:PF13441.11, PFAM:PF13488.11
contig_1	1076564	1076890	+	EEGGAC_01099	11.8	8.1	PF03797.25|Autotransporter	PFAM:PF03797.25
contig_1	1094922	1095074	+	EEGGAC_01119	5.6	4.5		
contig_1	1098634	1099368	-	EEGGAC_01123	27.8	9.2	PF07238.19|PilZ, PF07317.18|PilZN	PFAM:PF07238.19, PFAM:PF07317.18
contig_1	1130190	1130297	-	EEGGAC_01151	4.0	10.8		
contig_1	1130725	1130832	-	EEGGAC_01153	4.0	10.8		
contig_1	1138134	1138352	+	EEGGAC_01162	8.6	8.7		
contig_1	1147078	1147257	+	EEGGAC_01168	6.4	5.6		
contig_1	1160440	1160595	+	EEGGAC_01183	5.9	10.5		
contig_1	1160571	1160867	-	EEGGAC_01184	11.3	8.6		SO:0001217, UniRef:UniRef50_A0A0H3EJ07
contig_1	1179597	1179872	+	EEGGAC_01204	10.3	5.4		
contig_1	1179850	1180170	-	EEGGAC_01205	12.2	5.0		SO:0001217, UniRef:UniRef50_A0A616MFR6
contig_1	1180182	1180415	-	EEGGAC_01206	8.4	6.1		
contig_1	1196693	1196782	-	EEGGAC_01233	3.3	4.7		
contig_1	1222340	1222510	+	EEGGAC_01261	6.2	5.2		SO:0001217, UniRef:UniRef50_UPI002E19497F
contig_1	1224975	1225154	-	EEGGAC_01267	6.0	9.9		
contig_1	1244410	1244577	+	EEGGAC_01285	6.3	4.1		
contig_1	1303798	1303971	+	EEGGAC_01345	6.4	5.6		SO:0001217, UniRef:UniRef50_A0A377BGW3
contig_1	1312482	1312748	+	EEGGAC_01352	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_1	1336927	1337226	-	EEGGAC_01367	11.4	7.7		SO:0001217, UniRef:UniRef50_A0A148HK34
contig_1	1337841	1337951	+	EEGGAC_01369	4.4	7.9		
contig_1	1342550	1342723	+	EEGGAC_01375	5.8	9.5		
contig_1	1357951	1358121	-	EEGGAC_01391	6.6	6.2		
contig_1	1367487	1367684	+	EEGGAC_01401	7.3	10.0		
contig_1	1377858	1378142	+	EEGGAC_01412	9.6	8.0	PF05488.18|PAAR_motif	PFAM:PF05488.18
contig_1	1381371	1382030	+	EEGGAC_01415	25.6	9.1		SO:0001217, UniRef:UniRef50_A0A5Y2QRA3
contig_1	1382017	1382193	+	EEGGAC_01416	6.9	4.1		
contig_1	1382810	1383370	+	EEGGAC_01417	21.9	9.2		SO:0001217, UniRef:UniRef50_A0A0P7N6I8
contig_1	1386776	1386949	+	EEGGAC_01421	6.8	6.7		
contig_1	1407980	1408150	+	EEGGAC_01438	6.3	6.9		
contig_1	1439018	1439251	-	EEGGAC_01461	8.7	8.2		
contig_1	1452945	1453136	-	EEGGAC_01473	7.2	5.6	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_1	1453087	1453506	-	EEGGAC_01474	15.7	8.9	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_1	1457039	1457149	-	EEGGAC_01479	4.3	5.6		
contig_1	1523552	1523719	+	EEGGAC_01541	5.9	4.1		
contig_1	1527820	1527939	+	EEGGAC_01551	4.4	9.6		
contig_1	1537050	1537277	-	EEGGAC_01563	8.4	9.0	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_1	1544973	1545083	-	EEGGAC_01574	4.1	6.0		
contig_1	1600423	1602645	+	EEGGAC_01626	80.3	8.6	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_1	1605790	1605990	+	EEGGAC_01631	7.9	9.9		
contig_1	1658439	1658627	-	EEGGAC_01687	7.3	5.2		
contig_1	1672910	1673086	-	EEGGAC_01700	6.5	9.5		
contig_1	1683119	1683310	+	EEGGAC_01709	7.1	9.8		
contig_1	1696454	1698352	+	EEGGAC_01724	70.9	8.6	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	1700754	1701044	+	EEGGAC_01728	10.9	4.2		
contig_1	1775180	1775494	+	EEGGAC_01805	11.2	9.2		
contig_1	1801081	1801269	+	EEGGAC_01832	6.7	9.9		
contig_1	1814192	1814467	+	EEGGAC_01843	10.4	4.4		
contig_1	1830397	1830546	-	EEGGAC_01863	5.7	9.9		SO:0001217, UniRef:UniRef50_B2U498
contig_1	1834231	1835553	-	EEGGAC_01867	49.1	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_1	1881841	1883052	+	EEGGAC_01916	42.8	9.4	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_1	1895863	1897275	+	EEGGAC_01933	50.4	5.1		
contig_1	1902187	1902456	-	EEGGAC_01941	10.6	9.9		
contig_1	1919807	1920742	-	EEGGAC_01966	35.9	6.4	PF17151.10|CHASE7	PFAM:PF17151.10
contig_1	1920913	1921095	-	EEGGAC_01967	6.7	4.7		
contig_1	1970554	1971201	+	EEGGAC_02001	22.5	4.5	PF09134.16|Invasin_D3, PF21764.3|Invasin_D4	PFAM:PF09134.16, PFAM:PF21764.3
contig_1	1984272	1984757	-	EEGGAC_02015	18.1	5.1	PF02283.22|CobU	PFAM:PF02283.22
contig_1	1990213	1990731	-	EEGGAC_02019	19.3	7.9		
contig_1	2008618	2008812	+	EEGGAC_02037	7.0	4.1		
contig_1	2012059	2013225	-	EEGGAC_02041	43.3	6.3	PF00768.25|Peptidase_S11, PF07943.18|PBP5_C, PF13354.11|Beta-lactamase2	PFAM:PF00768.25, PFAM:PF07943.18, PFAM:PF13354.11
contig_1	2060746	2061234	-	EEGGAC_02092	17.6	8.9	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	2077081	2077578	-	EEGGAC_02105	18.7	9.3	PF00730.31|HhH-GPD	PFAM:PF00730.31
contig_1	2077595	2077924	-	EEGGAC_02106	11.9	6.7	PF06029.17|AlkA_N	PFAM:PF06029.17
contig_1	2081360	2082040	-	EEGGAC_02109	24.5	4.4		
contig_1	2083349	2083495	+	EEGGAC_02114	5.2	10.0		
contig_1	2091958	2092527	+	EEGGAC_02119	20.7	10.9		
contig_1	2137224	2137313	-	EEGGAC_02158	3.3	5.9		
contig_1	2137832	2137921	-	EEGGAC_02160	3.3	5.9		
contig_1	2145486	2145956	-	EEGGAC_02167	18.0	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_1	2211510	2211854	-	EEGGAC_02225	12.5	4.8		
contig_1	2216135	2216419	+	EEGGAC_02229	10.7	9.6	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_1	2248703	2251552	-	EEGGAC_02265	106.5	6.0	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_1	2283499	2283630	+	EEGGAC_02287	4.9	4.6		
contig_1	2283809	2284879	+	EEGGAC_02288	41.2	6.3		SO:0001217, UniRef:UniRef50_A0A4C9CWG2
contig_1	2293041	2293238	+	EEGGAC_02295	7.3	5.0		
contig_1	2315358	2315663	-	EEGGAC_02318	11.3	5.3	PF05957.18|DUF883	PFAM:PF05957.18
contig_1	2335882	2336046	+	EEGGAC_02337	6.5	9.4		SO:0001217, UniRef:UniRef50_A0A8B6WVV8
contig_1	2391267	2391551	-	EEGGAC_02391	10.3	4.3		
contig_1	2402756	2402974	+	EEGGAC_02401	7.9	4.1		
contig_1	2425776	2428271	-	EEGGAC_02419	92.2	5.1	PF00359.27|PTS_EIIA_2, PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00359.27, PFAM:PF00381.24, PFAM:PF00391.29, PFAM:PF02896.24
contig_1	2434788	2435114	+	EEGGAC_02426	13.3	10.1		
contig_1	2443885	2444226	+	EEGGAC_02439	12.5	5.1	PF14282.11|FlxA	PFAM:PF14282.11
contig_1	2503300	2503500	+	EEGGAC_02499	8.1	8.0		
contig_1	2539832	2540005	+	EEGGAC_02532	6.9	11.9		
contig_1	2548373	2548540	+	EEGGAC_02547	6.3	9.8		
contig_1	2548691	2548849	+	EEGGAC_02548	5.8	11.0		
contig_1	2549287	2549583	-	EEGGAC_02550	10.9	5.5		SO:0001217, UniRef:UniRef50_A8H9P8
contig_1	2565551	2565757	-	EEGGAC_02565	7.0	6.1		
contig_1	2577228	2578109	+	EEGGAC_02586	32.1	5.5		
contig_1	2578565	2578816	+	EEGGAC_02588	9.2	9.3		
contig_1	2591135	2593849	-	EEGGAC_02596	96.8	4.8	PF05688.17|BIg21, PF05689.17|InvE_AD	PFAM:PF05688.17, PFAM:PF05689.17
contig_1	2676395	2676568	+	EEGGAC_02674	6.8	6.7		
contig_1	2687242	2687514	+	EEGGAC_02685	9.9	5.7		
contig_1	2723010	2723549	+	EEGGAC_02724	20.5	4.5		SO:0001217, UniRef:UniRef50_UPI0007A6317C
contig_1	2723758	2724150	+	EEGGAC_02725	14.4	5.4	PF12826.13|HHH_2	PFAM:PF12826.13
contig_1	2733165	2733374	-	EEGGAC_02733	7.4	4.5		
contig_1	2734018	2734326	+	EEGGAC_02735	11.0	4.9		
contig_1	2741705	2743384	+	EEGGAC_02743	65.2	6.8	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_1	2748264	2748839	+	EEGGAC_02748	21.9	9.0		
contig_1	2766949	2767107	-	EEGGAC_02759	5.9	10.0		
contig_1	2775451	2776071	+	EEGGAC_02771	23.6	6.9	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	2776102	2776410	+	EEGGAC_02772	11.5	4.1	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	2791146	2791235	+	EEGGAC_02792	3.5	8.2		
contig_1	2829558	2829692	-	EEGGAC_02831	4.9	6.0		
contig_1	2849879	2850478	-	EEGGAC_02853	21.8	9.6		
contig_1	2858021	2858173	-	EEGGAC_02860	5.6	7.7		
contig_1	2962927	2963067	-	EEGGAC_02955	5.6	5.6		
contig_1	2963043	2963468	-	EEGGAC_02956	16.2	9.2		
contig_1	2963647	2963742	+	EEGGAC_02957	3.7	8.2		
contig_1	2984843	2985592	-	EEGGAC_02983	28.3	6.3	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1	2985938	2986117	-	EEGGAC_02984	6.6	9.4		
contig_1	3027151	3027861	-	EEGGAC_03016	25.6	6.3	PF01323.26|DSBA, PF10411.14|DsbC_N, PF13098.12|Thioredoxin_2	PFAM:PF01323.26, PFAM:PF10411.14, PFAM:PF13098.12
contig_1	3088861	3089316	+	EEGGAC_03079	17.8	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_1	3115601	3115930	-	EEGGAC_03108	12.0	5.9		
contig_1	3116054	3116485	-	EEGGAC_03109	15.6	6.0		
contig_1	3131103	3131216	-	EEGGAC_03130	4.4	10.2	PF03245.18|Phage_lysis	PFAM:PF03245.18
contig_1	3131858	3132490	-	EEGGAC_03132	24.3	9.7		
contig_1	3133042	3133302	+	EEGGAC_03133	9.2	5.1	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	3135803	3136045	-	EEGGAC_03139	8.9	5.3		SO:0001217, UniRef:UniRef50_A0AAW7V5N9
contig_1	3145313	3145894	-	EEGGAC_03148	22.2	9.0		SO:0001217, UniRef:UniRef50_A0AA36P836
contig_1	3173125	3173433	-	EEGGAC_03169	11.0	9.5		
contig_1	3194048	3194788	+	EEGGAC_03190	28.3	5.5	PF08843.17|AbiEii	PFAM:PF08843.17
contig_1	3195413	3195568	+	EEGGAC_03191	5.8	9.7		
contig_1	3453667	3453945	+	EEGGAC_03443	10.5	9.9	PF13693.12|HTH_35	PFAM:PF13693.12
contig_1	3497270	3497533	+	EEGGAC_03488	9.2	5.7	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	3530114	3530404	-	EEGGAC_03516	11.1	8.9		SO:0001217, UniRef:UniRef50_J7QA02
contig_1	3635598	3635696	+	EEGGAC_03644	3.8	5.0		
contig_1	3727755	3727931	-	EEGGAC_03732	6.6	6.7		SO:0001217, UniRef:UniRef50_A0A447X5K8
contig_1	3783665	3783943	-	EEGGAC_03787	9.8	9.8		SO:0001217, UniRef:UniRef50_A0A2S8JRI1
contig_1	3788235	3788516	-	EEGGAC_03791	10.5	10.3		
contig_1	3806440	3806847	-	EEGGAC_03806	16.1	9.1		
contig_1	3806909	3807211	-	EEGGAC_03807	11.6	5.1		SO:0001217, UniRef:UniRef50_A0A5J5FQ78
contig_1	3807233	3807712	-	EEGGAC_03808	18.5	5.1		SO:0001217, UniRef:UniRef50_A0A0P7MTR7
contig_1	3808066	3808491	-	EEGGAC_03810	15.9	5.4		SO:0001217, UniRef:UniRef50_A0A0Q3IL72
contig_1	3823216	3823485	-	EEGGAC_03819	10.6	11.8		
contig_1	3837775	3837948	-	EEGGAC_03836	6.8	6.7		
contig_1	3910288	3910461	-	EEGGAC_03901	6.8	6.7		
contig_1	3915990	3917249	+	EEGGAC_03908	46.6	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	3958267	3959364	-	EEGGAC_03948	41.1	5.5	PF01055.32|Glyco_hydro_31_2nd, PF21365.3|Glyco_hydro_31_3rd	PFAM:PF01055.32, PFAM:PF21365.3
contig_1	3995874	3997343	-	EEGGAC_03975	55.1	5.4		SO:0001217, UniRef:UniRef50_A0AAN3TTQ2
contig_1	3997619	3998914	-	EEGGAC_03976	48.1	6.4		SO:0001217, UniRef:UniRef50_A0A7L7ED11
contig_1	3999179	3999469	-	EEGGAC_03977	11.1	5.7	PF01842.31|ACT, PF13710.12|ACT_5, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_1	4004792	4005241	+	EEGGAC_03985	15.7	9.1		
contig_1	4016685	4016945	+	EEGGAC_03995	9.3	5.2		
contig_1	4050538	4050687	+	EEGGAC_04027	5.3	10.3		
contig_1	4151339	4151779	-	EEGGAC_04123	15.8	5.8	PF20257.3|SAM_HAT_C	PFAM:PF20257.3
contig_1	4151807	4152241	-	EEGGAC_04124	15.7	6.7	PF01887.21|SAM_HAT_N	PFAM:PF01887.21
contig_1	4198390	4198575	-	EEGGAC_04173	7.2	9.7		
contig_1	4203016	4203525	+	EEGGAC_04178	19.1	6.4		
contig_1	4212683	4213078	+	EEGGAC_04187	14.6	6.9		
contig_1	4234715	4234843	+	EEGGAC_04210	4.6	7.9		
contig_1	4244055	4244369	-	EEGGAC_04218	12.3	5.3	PF05336.19|rhaM	PFAM:PF05336.19
contig_1	4281089	4282126	+	EEGGAC_04262	39.5	6.7		SO:0001217, UniRef:UniRef50_A0A1I7E5F8
contig_1	4290600	4290704	-	EEGGAC_04271	3.8	4.1		
contig_1	4379558	4379758	-	EEGGAC_04355	7.3	4.4	PF02597.26|ThiS	PFAM:PF02597.26
contig_1	4406826	4409012	-	EEGGAC_04381	82.7	8.5	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	4428497	4428739	+	EEGGAC_04398	7.4	5.8		
contig_1	4453462	4453704	+	EEGGAC_04421	9.1	10.2		
contig_1	4497989	4498318	+	EEGGAC_04465	13.5	4.8		
contig_1	4509254	4509697	-	EEGGAC_04480	16.1	5.0	PF00903.31|Glyoxalase	PFAM:PF00903.31
contig_1	4546382	4546771	-	EEGGAC_04512	15.0	4.8		
contig_1	4583002	4583310	+	EEGGAC_04550	11.2	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_1	4616975	4618459	+	EEGGAC_04589	56.5	5.1	PF13644.11|DKNYY	PFAM:PF13644.11
contig_1	4662054	4662407	+	EEGGAC_04631	13.9	5.3		
contig_1	4662394	4662624	+	EEGGAC_04632	9.3	8.8		
contig_1	4681942	4682136	+	EEGGAC_04652	6.9	4.5		
contig_1	4684122	4684565	-	EEGGAC_04654	15.8	4.9		
contig_1	4692662	4692787	+	EEGGAC_04660	4.8	9.2		
contig_1	4710329	4710439	-	EEGGAC_04682	4.2	8.6		
contig_1	4715428	4715664	-	EEGGAC_04688	8.4	9.7		SO:0001217, UniRef:UniRef50_A0A0E2KXY2
contig_1	4751277	4752293	+	EEGGAC_04724	38.0	6.6	PF13087.12|AAA_12, PF13091.12|PLDc_2	PFAM:PF13087.12, PFAM:PF13091.12, SO:0001217, UniRef:UniRef50_A0A3F3NZU4
contig_1	4774035	4774136	+	EEGGAC_04743	3.9	8.2		
contig_1	4827348	4827818	-	EEGGAC_04787	16.4	9.0		
contig_1	4827873	4828709	-	EEGGAC_04788	30.8	9.4		
contig_1	4856084	4856311	-	EEGGAC_04827	8.8	9.7	PF04545.22|Sigma70_r4	PFAM:PF04545.22
contig_1	4883946	4884242	+	EEGGAC_04854	11.4	10.1		
contig_1	4890094	4890498	-	EEGGAC_04861	14.5	7.7		
contig_1	4917117	4917335	-	EEGGAC_04885	8.2	9.0		SO:0001217, UniRef:UniRef50_A0A658YVE2
contig_1	4917370	4917765	+	EEGGAC_04886	15.4	9.0		
contig_1	4941667	4942398	+	EEGGAC_04908	27.3	5.2	PF00805.28|Pentapeptide	PFAM:PF00805.28
contig_1	4962049	4962180	+	EEGGAC_04924	5.4	6.7		
contig_1	5012610	5014463	-	EEGGAC_04971	69.4	8.6		
contig_1	5033118	5034368	-	EEGGAC_04990	45.5	5.5	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	5095454	5095714	-	EEGGAC_05045	9.7	4.7		
contig_1	5102572	5103225	-	EEGGAC_05055	23.3	10.1		
contig_1	5120779	5122137	-	EEGGAC_05077	51.6	6.3		
contig_1	5137429	5137854	-	EEGGAC_05088	16.1	5.7	PF04965.19|GPW_gp25	PFAM:PF04965.19
contig_1	5141176	5141295	+	EEGGAC_05092	4.3	6.9		
contig_1	5144130	5145701	+	EEGGAC_05095	59.2	5.4		SO:0001217, UniRef:UniRef50_A0A0H2V8I4
contig_1	5159564	5160322	+	EEGGAC_05110	29.3	9.5		
contig_1	5183270	5184472	+	EEGGAC_05142	41.9	4.1	PF06429.18|Flg_bbr_C, PF07559.19|FlgE_D2, PF22692.1|LlgE_F_G_D1	PFAM:PF06429.18, PFAM:PF07559.19, PFAM:PF22692.1
contig_1	5202769	5202966	+	EEGGAC_05166	7.6	6.0		
contig_1	5203255	5203629	+	EEGGAC_05167	14.4	9.2	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	5218807	5219241	+	EEGGAC_05186	16.9	6.4		
contig_1	5220549	5220809	+	EEGGAC_05189	9.8	9.5	PF01381.28|HTH_3, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF13560.12
contig_1	5221350	5221688	+	EEGGAC_05191	12.1	9.3		
contig_1	5222642	5223130	+	EEGGAC_05193	18.6	9.9		SO:0001217, UniRef:UniRef50_A0AAX0LVX8
contig_1	5229670	5230533	+	EEGGAC_05204	32.8	5.7		
contig_1	5233322	5233504	+	EEGGAC_05208	6.4	9.1		
contig_1	5236643	5236843	+	EEGGAC_05212	7.1	9.1		
contig_1	5238623	5238793	+	EEGGAC_05217	6.4	9.3		
contig_1	5240629	5240898	+	EEGGAC_05220	9.9	5.2		
contig_2	209	343	+	EEGGAC_05232	5.1	8.3		SO:0001217, UniRef:UniRef50_A0A0J2D5W8
contig_2	27740	27916	+	EEGGAC_05259	6.8	5.3		SO:0001217, UniRef:UniRef50_I4N3R5
contig_2	28575	28826	+	EEGGAC_05262	9.3	4.7		
contig_2	32817	35108	+	EEGGAC_05268	87.0	6.4		
contig_2	41765	42031	-	EEGGAC_05276	10.5	9.9		
contig_2	43309	43500	-	EEGGAC_05278	7.3	9.8		
contig_2	50642	51058	-	EEGGAC_05290	15.5	4.8		
contig_2	55426	55680	+	EEGGAC_05296	9.9	5.3		
contig_2	56483	57535	+	EEGGAC_05298	40.2	9.1		SO:0001217, UniRef:UniRef50_R8X255
