locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGPMFCKN_00077	CDS	1260	codB		COG1457	Cytosine permease
NGPMFCKN_00078	CDS	1284	codA	3.5.4.1	COG0402	Cytosine deaminase
NGPMFCKN_00079	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
NGPMFCKN_00080	CDS	660	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
NGPMFCKN_00081	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
NGPMFCKN_00082	CDS	1182	yycB		COG2807	putative transporter YycB
NGPMFCKN_00083	CDS	612	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
NGPMFCKN_00084	CDS	1254	lacY			Lactose permease
NGPMFCKN_00085	CDS	3075	lacZ	3.2.1.23	COG3250	Beta-galactosidase
NGPMFCKN_00086	CDS	1092	lacI		COG1609	Lactose operon repressor
NGPMFCKN_00087	CDS	948	yiaJ_1		COG1414	DNA-binding transcriptional repressor YiaJ
NGPMFCKN_00088	CDS	1665	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
NGPMFCKN_00089	CDS	945	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
NGPMFCKN_00090	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
NGPMFCKN_00091	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
NGPMFCKN_00092	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
NGPMFCKN_00093	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
NGPMFCKN_00094	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
NGPMFCKN_00095	CDS	540				hypothetical protein
NGPMFCKN_00096	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
NGPMFCKN_00097	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
NGPMFCKN_00098	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
NGPMFCKN_00099	CDS	774				hypothetical protein
NGPMFCKN_00100	CDS	1197	icaA	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
NGPMFCKN_00101	CDS	672	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
NGPMFCKN_00102	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
NGPMFCKN_00103	CDS	768	tauB	3.6.3.36	COG4525	Taurine import ATP-binding protein TauB
NGPMFCKN_00104	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
NGPMFCKN_00105	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
NGPMFCKN_00106	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
NGPMFCKN_00107	CDS	2907	prn		COG3468	Pertactin autotransporter
NGPMFCKN_00108	CDS	624				hypothetical protein
NGPMFCKN_00109	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
NGPMFCKN_00110	CDS	102				hypothetical protein
NGPMFCKN_00111	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
NGPMFCKN_00112	CDS	1095				hypothetical protein
NGPMFCKN_00113	CDS	309	yaiY			Inner membrane protein YaiY
NGPMFCKN_00114	CDS	213				hypothetical protein
NGPMFCKN_00115	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
NGPMFCKN_00116	CDS	261	iraP			Anti-adapter protein IraP
NGPMFCKN_00117	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
NGPMFCKN_00118	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
NGPMFCKN_00119	CDS	1116	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
NGPMFCKN_00120	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
NGPMFCKN_00121	CDS	459				hypothetical protein
NGPMFCKN_00122	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
NGPMFCKN_00123	CDS	192	yaiA			putative protein YaiA
NGPMFCKN_00124	CDS	678				hypothetical protein
NGPMFCKN_00125	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
NGPMFCKN_00126	CDS	183				hypothetical protein
NGPMFCKN_00127	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
NGPMFCKN_00128	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
NGPMFCKN_00129	CDS	1269	araJ		COG2814	Putative transporter AraJ
NGPMFCKN_00130	CDS	3144	sbcC		COG0419	Nuclease SbcCD subunit C
NGPMFCKN_00131	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
NGPMFCKN_00132	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
NGPMFCKN_00133	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
NGPMFCKN_00134	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
NGPMFCKN_00135	CDS	1374	proY		COG1113	Proline-specific permease ProY
NGPMFCKN_00136	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
NGPMFCKN_00137	CDS	1470				hypothetical protein
NGPMFCKN_00138	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
NGPMFCKN_00139	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NGPMFCKN_00140	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
NGPMFCKN_00141	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
NGPMFCKN_00142	CDS	1815	secD		COG0342	Protein translocase subunit SecD
NGPMFCKN_00143	CDS	972	secF		COG0341	Protein translocase subunit SecF
NGPMFCKN_00144	CDS	348				hypothetical protein
NGPMFCKN_00145	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
NGPMFCKN_00146	CDS	540	yajI			putative lipoprotein YajI
NGPMFCKN_00147	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
NGPMFCKN_00148	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
NGPMFCKN_00149	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
NGPMFCKN_00150	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
NGPMFCKN_00151	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
NGPMFCKN_00152	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
NGPMFCKN_00153	CDS	1572				hypothetical protein
NGPMFCKN_00154	CDS	975	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
NGPMFCKN_00155	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
NGPMFCKN_00156	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
NGPMFCKN_00157	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
NGPMFCKN_00158	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
NGPMFCKN_00159	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
NGPMFCKN_00160	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
NGPMFCKN_00161	CDS	492				hypothetical protein
NGPMFCKN_00162	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
NGPMFCKN_00163	CDS	891	cyoE	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
NGPMFCKN_00164	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
NGPMFCKN_00165	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
NGPMFCKN_00166	CDS	1992	cyoB	1.10.3.10	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
NGPMFCKN_00167	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
NGPMFCKN_00168	CDS	1476	ampG_1		COG0477	Protein AmpG
NGPMFCKN_00169	CDS	579				hypothetical protein
NGPMFCKN_00170	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
NGPMFCKN_00171	CDS	1299	tig	5.2.1.8		Trigger factor
NGPMFCKN_00172	CDS	624	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
NGPMFCKN_00173	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
NGPMFCKN_00174	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
NGPMFCKN_00175	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
NGPMFCKN_00176	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
NGPMFCKN_00177	CDS	372			COG1555	putative protein
NGPMFCKN_00178	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
NGPMFCKN_00179	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
NGPMFCKN_00180	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
NGPMFCKN_00181	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
NGPMFCKN_00182	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
NGPMFCKN_00183	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
NGPMFCKN_00184	CDS	1782	mdlB	3.6.3.44	COG1132	Multidrug resistance-like ATP-binding protein MdlB
NGPMFCKN_00185	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
NGPMFCKN_00186	CDS	1287	amtB			Ammonia channel
NGPMFCKN_00187	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
NGPMFCKN_00188	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
NGPMFCKN_00189	CDS	312	atl		COG3695	DNA base-flipping protein
NGPMFCKN_00190	CDS	354	ybaA		COG5507	putative protein YbaA
NGPMFCKN_00191	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
NGPMFCKN_00192	CDS	471	ylaC			Inner membrane protein YlaC
NGPMFCKN_00193	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
NGPMFCKN_00194	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
NGPMFCKN_00195	CDS	375	tomB			Hha toxicity modulator TomB
NGPMFCKN_00196	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
NGPMFCKN_00197	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
NGPMFCKN_00198	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
NGPMFCKN_00199	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
NGPMFCKN_00200	CDS	165				hypothetical protein
NGPMFCKN_00201	CDS	528	priC		COG3923	Primosomal replication protein N''
NGPMFCKN_00202	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
NGPMFCKN_00203	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
NGPMFCKN_00204	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
NGPMFCKN_00205	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
NGPMFCKN_00206	CDS	606	recR		COG0353	Recombination protein RecR
NGPMFCKN_00207	CDS	1875	htpG		COG0326	Chaperone protein HtpG
NGPMFCKN_00208	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
NGPMFCKN_00209	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
NGPMFCKN_00210	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
NGPMFCKN_00211	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
NGPMFCKN_00212	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
NGPMFCKN_00213	CDS	1221	fsr			Fosmidomycin resistance protein
NGPMFCKN_00214	CDS	1653	ushA		COG0737	Protein UshA
NGPMFCKN_00215	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
NGPMFCKN_00216	CDS	795				hypothetical protein
NGPMFCKN_00217	CDS	2505	copA	3.6.3.54	COG2217	Copper-exporting P-type ATPase
NGPMFCKN_00218	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
NGPMFCKN_00219	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
NGPMFCKN_00220	CDS	1356	bepC			Outer membrane efflux protein BepC
NGPMFCKN_00221	CDS	20778				hypothetical protein
NGPMFCKN_00222	CDS	2163	ltxB	3.6.3.43	COG2274	Leukotoxin export ATP-binding protein LtxB
NGPMFCKN_00223	CDS	1176	prsE			Type I secretion system membrane fusion protein PrsE
NGPMFCKN_00224	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
NGPMFCKN_00225	CDS	204				hypothetical protein
NGPMFCKN_00226	CDS	423				hypothetical protein
NGPMFCKN_00227	CDS	1785	smc			Chromosome partition protein Smc
NGPMFCKN_00228	CDS	363				hypothetical protein
NGPMFCKN_00229	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
NGPMFCKN_00230	CDS	918	qmcA		COG0330	Protein QmcA
NGPMFCKN_00231	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
NGPMFCKN_00232	CDS	780	fetB		COG0390	putative iron export permease protein FetB
NGPMFCKN_00233	CDS	855	ybbN		COG3118	putative protein YbbN
NGPMFCKN_00234	CDS	771		1.-.-.-	COG4221	putative oxidoreductase
NGPMFCKN_00235	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
NGPMFCKN_00236	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NGPMFCKN_00237	CDS	2415				hypothetical protein
NGPMFCKN_00238	CDS	1095	selU	2.9.1.-	COG2603	tRNA 2-selenouridine synthase
NGPMFCKN_00239	CDS	927	allS			HTH-type transcriptional activator AllS
NGPMFCKN_00240	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
NGPMFCKN_00241	CDS	816	allR		COG1414	HTH-type transcriptional repressor AllR
NGPMFCKN_00242	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
NGPMFCKN_00243	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
NGPMFCKN_00244	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
NGPMFCKN_00245	CDS	1455	ybbW		COG1953	Putative allantoin permease
NGPMFCKN_00246	CDS	981				hypothetical protein
NGPMFCKN_00247	CDS	1233	allB	3.5.2.5	COG0044	Allantoinase
NGPMFCKN_00248	CDS	1302	ybbY		COG2233	Putative purine permease YbbY
NGPMFCKN_00249	CDS	1146	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
NGPMFCKN_00250	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
NGPMFCKN_00251	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
NGPMFCKN_00252	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
NGPMFCKN_00253	CDS	1668	fdrA_2		COG0074	Protein FdrA
NGPMFCKN_00254	CDS	1260				hypothetical protein
NGPMFCKN_00255	CDS	816				hypothetical protein
NGPMFCKN_00256	CDS	894	arcC2_2	2.7.2.2		Carbamate kinase 2
NGPMFCKN_00257	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
NGPMFCKN_00258	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NGPMFCKN_00259	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
NGPMFCKN_00260	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
NGPMFCKN_00261	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
NGPMFCKN_00262	CDS	522	ybcI		COG1988	Inner membrane protein YbcI
NGPMFCKN_00263	CDS	213	ybcJ		COG2501	putative protein YbcJ
NGPMFCKN_00264	CDS	867	folD		COG0190	Bifunctional protein FolD protein
NGPMFCKN_00265	CDS	543	sfmA			putative fimbrial-like protein SfmA
NGPMFCKN_00266	CDS	693	sfmC			putative fimbrial chaperone SfmC
NGPMFCKN_00267	CDS	2610	sfmD		COG3188	Outer membrane usher protein SfmD
NGPMFCKN_00268	CDS	1008	sfmH_1			putative fimbrial-like protein SfmH
NGPMFCKN_00269	CDS	516	sfmF			putative fimbrial-like protein SfmF
NGPMFCKN_00270	CDS	633	bvgA			Virulence factors putative positive transcription regulator BvgA
NGPMFCKN_00271	tRNA	77				tRNA-Arg(tct)
NGPMFCKN_00272	CDS	1164	intQ_1		COG0582	Putative defective protein IntQ
NGPMFCKN_00273	CDS	279				hypothetical protein
NGPMFCKN_00274	CDS	219				hypothetical protein
NGPMFCKN_00275	CDS	222				hypothetical protein
NGPMFCKN_00276	CDS	192				hypothetical protein
NGPMFCKN_00277	CDS	183				hypothetical protein
NGPMFCKN_00278	CDS	681				hypothetical protein
NGPMFCKN_00279	CDS	786				hypothetical protein
NGPMFCKN_00280	CDS	297				hypothetical protein
NGPMFCKN_00281	CDS	207				hypothetical protein
NGPMFCKN_00282	CDS	933				hypothetical protein
NGPMFCKN_00283	CDS	474				hypothetical protein
NGPMFCKN_00284	CDS	756	prtR		COG2932	HTH-type transcriptional regulator PrtR
NGPMFCKN_00285	CDS	231				hypothetical protein
NGPMFCKN_00286	CDS	540				hypothetical protein
NGPMFCKN_00287	CDS	1020				hypothetical protein
NGPMFCKN_00288	CDS	702				hypothetical protein
NGPMFCKN_00289	CDS	303				hypothetical protein
NGPMFCKN_00290	CDS	1503				hypothetical protein
NGPMFCKN_00291	CDS	609				hypothetical protein
NGPMFCKN_00292	CDS	507				hypothetical protein
NGPMFCKN_00293	CDS	456				hypothetical protein
NGPMFCKN_00294	CDS	171				hypothetical protein
NGPMFCKN_00295	CDS	291	ybcO	3.1.-.-		Putative nuclease YbcO
NGPMFCKN_00296	CDS	363	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
NGPMFCKN_00297	CDS	384				hypothetical protein
NGPMFCKN_00298	CDS	1083	ompD_1			Outer membrane porin protein OmpD
NGPMFCKN_00299	CDS	216				hypothetical protein
NGPMFCKN_00300	CDS	498	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
NGPMFCKN_00301	CDS	468				hypothetical protein
NGPMFCKN_00302	CDS	153				hypothetical protein
NGPMFCKN_00303	CDS	981				hypothetical protein
NGPMFCKN_00304	CDS	546				hypothetical protein
NGPMFCKN_00305	CDS	1926				hypothetical protein
NGPMFCKN_00306	CDS	207				hypothetical protein
NGPMFCKN_00307	CDS	1602				hypothetical protein
NGPMFCKN_00308	CDS	1332	sppA_1	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
NGPMFCKN_00309	CDS	333				hypothetical protein
NGPMFCKN_00310	CDS	1026				hypothetical protein
NGPMFCKN_00311	CDS	396				hypothetical protein
NGPMFCKN_00312	CDS	354				hypothetical protein
NGPMFCKN_00313	CDS	579				hypothetical protein
NGPMFCKN_00314	CDS	396				hypothetical protein
NGPMFCKN_00315	CDS	741				hypothetical protein
NGPMFCKN_00316	CDS	423				hypothetical protein
NGPMFCKN_00317	CDS	435				hypothetical protein
NGPMFCKN_00318	CDS	2556				hypothetical protein
NGPMFCKN_00319	CDS	330				hypothetical protein
NGPMFCKN_00320	CDS	699				hypothetical protein
NGPMFCKN_00321	CDS	744	mec_1	3.13.1.6	COG1310	CysO-cysteine peptidase
NGPMFCKN_00322	CDS	573				hypothetical protein
NGPMFCKN_00323	CDS	3498				hypothetical protein
NGPMFCKN_00324	CDS	2370				hypothetical protein
NGPMFCKN_00325	CDS	282				hypothetical protein
NGPMFCKN_00326	CDS	705				hypothetical protein
NGPMFCKN_00327	CDS	294				hypothetical protein
NGPMFCKN_00328	CDS	750	appY		COG2207	HTH-type transcriptional regulator AppY
NGPMFCKN_00329	CDS	954	ompT	3.4.23.49	COG4571	Protease 7
NGPMFCKN_00330	CDS	762	gadX_1			HTH-type transcriptional regulator GadX
NGPMFCKN_00331	CDS	891				hypothetical protein
NGPMFCKN_00332	CDS	2973	nfrA		COG0457	Bacteriophage adsorption protein A
NGPMFCKN_00333	CDS	2238				hypothetical protein
NGPMFCKN_00334	CDS	537				hypothetical protein
NGPMFCKN_00335	CDS	429				hypothetical protein
NGPMFCKN_00336	CDS	447				hypothetical protein
NGPMFCKN_00337	CDS	120				hypothetical protein
NGPMFCKN_00338	CDS	243				hypothetical protein
NGPMFCKN_00339	CDS	1137				hypothetical protein
NGPMFCKN_00340	CDS	201				hypothetical protein
NGPMFCKN_00341	CDS	462				hypothetical protein
NGPMFCKN_00342	CDS	657				hypothetical protein
NGPMFCKN_00343	CDS	471				hypothetical protein
NGPMFCKN_00344	CDS	279				hypothetical protein
