locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLECGONO_00059	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
OLECGONO_00060	CDS	1263	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
OLECGONO_00061	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
OLECGONO_00062	CDS	2160	aas		COG0204	Bifunctional protein Aas
OLECGONO_00063	CDS	1194	lplT			Lysophospholipid transporter LplT
OLECGONO_00064	CDS	1041	tas		COG0667	Protein tas
OLECGONO_00065	CDS	219	ygdR_1			putative lipoprotein YgdR
OLECGONO_00066	CDS	714				hypothetical protein
OLECGONO_00067	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
OLECGONO_00068	CDS	147				hypothetical protein
OLECGONO_00069	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
OLECGONO_00070	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
OLECGONO_00071	CDS	876	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
OLECGONO_00072	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
OLECGONO_00073	CDS	471				hypothetical protein
OLECGONO_00074	CDS	564				hypothetical protein
OLECGONO_00075	CDS	408				hypothetical protein
OLECGONO_00076	CDS	324				hypothetical protein
OLECGONO_00077	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
OLECGONO_00078	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
OLECGONO_00079	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
OLECGONO_00080	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
OLECGONO_00081	CDS	1332	argA_1	2.3.1.1	COG0548	Amino-acid acetyltransferase
OLECGONO_00082	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
OLECGONO_00083	tRNA	77				tRNA-Met(cat)
OLECGONO_00084	tRNA	77				tRNA-Met(cat)
OLECGONO_00085	tRNA	77				tRNA-Met(cat)
OLECGONO_00086	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
OLECGONO_00087	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
OLECGONO_00088	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
OLECGONO_00089	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
OLECGONO_00090	CDS	228	ygdR_2			putative lipoprotein YgdR
OLECGONO_00091	CDS	918	gcvA_1			Glycine cleavage system transcriptional activator
OLECGONO_00092	CDS	396				hypothetical protein
OLECGONO_00093	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
OLECGONO_00094	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
OLECGONO_00095	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
OLECGONO_00096	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
OLECGONO_00097	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
OLECGONO_00098	CDS	1317	fucP		COG0738	L-fucose-proton symporter
OLECGONO_00099	CDS	648	fucA_1	4.1.2.17	COG0235	L-fuculose phosphate aldolase
OLECGONO_00100	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
OLECGONO_00101	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
OLECGONO_00102	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
OLECGONO_00103	CDS	1290	sdaC		COG0814	Serine transporter
OLECGONO_00104	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
OLECGONO_00105	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
OLECGONO_00106	CDS	546	syd			Protein Syd
OLECGONO_00107	CDS	330	yqcC		COG3098	putative protein YqcC
OLECGONO_00108	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
OLECGONO_00109	CDS	450			COG0716	putative protein
OLECGONO_00110	CDS	1353	gudP			putative glucarate transporter
OLECGONO_00111	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
OLECGONO_00112	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
OLECGONO_00113	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
OLECGONO_00114	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
OLECGONO_00115	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
OLECGONO_00116	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
OLECGONO_00117	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
OLECGONO_00118	CDS	1299	eno	4.2.1.11	COG0148	Enolase
OLECGONO_00119	CDS	915				hypothetical protein
OLECGONO_00120	CDS	1149				hypothetical protein
OLECGONO_00121	CDS	894				hypothetical protein
OLECGONO_00122	CDS	603	lemA		COG1704	Protein LemA
OLECGONO_00123	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
OLECGONO_00124	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
OLECGONO_00125	CDS	1278	yqcE			Inner membrane protein YqcE
OLECGONO_00126	CDS	786	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
OLECGONO_00127	CDS	1455		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
OLECGONO_00128	CDS	1410	ygcS_1			Inner membrane metabolite transport protein YgcS
OLECGONO_00129	CDS	780	etfB			Electron transfer flavoprotein subunit beta
OLECGONO_00130	CDS	861	etfA		COG2025	Electron transfer flavoprotein subunit alpha
OLECGONO_00131	CDS	576	ygcP		COG1954	putative protein YgcP
OLECGONO_00132	CDS	261	fixX_1		COG2440	Ferredoxin-like protein FixX
OLECGONO_00133	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
OLECGONO_00134	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
OLECGONO_00135	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
OLECGONO_00136	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
OLECGONO_00137	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
OLECGONO_00138	CDS	153	hokA_1			Protein HokA
OLECGONO_00139	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
OLECGONO_00140	CDS	1563	casA			CRISPR system Cascade subunit CasA
OLECGONO_00141	CDS	537				hypothetical protein
OLECGONO_00142	CDS	1056	casC			CRISPR system Cascade subunit CasC
OLECGONO_00143	CDS	747	casD			CRISPR system Cascade subunit CasD
OLECGONO_00144	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
OLECGONO_00145	CDS	600	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
OLECGONO_00146	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
OLECGONO_00147	CDS	1038	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
OLECGONO_00148	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
OLECGONO_00149	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
OLECGONO_00150	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
OLECGONO_00151	CDS	324	ygbE			Inner membrane protein YgbE
OLECGONO_00152	CDS	312	ftsB		COG2919	Cell division protein FtsB
OLECGONO_00153	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
OLECGONO_00154	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
OLECGONO_00155	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
OLECGONO_00156	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
OLECGONO_00157	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
OLECGONO_00158	CDS	1140	nlpD_2		COG0739	Murein hydrolase activator NlpD
OLECGONO_00159	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
OLECGONO_00160	CDS	408	hosA			Transcriptional regulator HosA
OLECGONO_00161	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
OLECGONO_00162	CDS	1428	edcC	4.1.1.-	COG0043	Phenolic acid decarboxylase subunit C
OLECGONO_00163	CDS	237	bsdD	4.1.1.-		Phenolic acid decarboxylase subunit D
OLECGONO_00164	CDS	669	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
OLECGONO_00165	CDS	864	esiB_1			Secretory immunoglobulin A-binding protein EsiB
OLECGONO_00166	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
OLECGONO_00167	CDS	135				hypothetical protein
OLECGONO_00168	CDS	345				hypothetical protein
OLECGONO_00169	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
OLECGONO_00170	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
OLECGONO_00171	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
OLECGONO_00172	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
OLECGONO_00173	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
OLECGONO_00174	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
OLECGONO_00175	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
OLECGONO_00176	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
OLECGONO_00177	CDS	612	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
OLECGONO_00178	CDS	1827	hyfB_1	1.-.-.-	COG0651	Hydrogenase-4 component B
OLECGONO_00179	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
OLECGONO_00180	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
OLECGONO_00181	CDS	543	nqo9	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit 9
OLECGONO_00182	CDS	768	hycG_1		COG3260	Formate hydrogenlyase subunit 7
OLECGONO_00183	CDS	411				hypothetical protein
OLECGONO_00184	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
OLECGONO_00185	CDS	1425	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
OLECGONO_00186	CDS	1458	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
OLECGONO_00187	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
OLECGONO_00188	CDS	528	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
OLECGONO_00189	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
OLECGONO_00190	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
OLECGONO_00191	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
OLECGONO_00192	CDS	1515	norR		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
OLECGONO_00193	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
OLECGONO_00194	CDS	774	srlR_1		COG1349	Glucitol operon repressor
OLECGONO_00195	CDS	360				hypothetical protein
OLECGONO_00196	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
OLECGONO_00197	CDS	372	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
OLECGONO_00198	CDS	960	srlE_1	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
OLECGONO_00199	CDS	564	srlA_1		COG3730	PTS system glucitol/sorbitol-specific EIIC component
OLECGONO_00200	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
OLECGONO_00201	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
OLECGONO_00202	CDS	1062	recA		COG0468	Protein RecA
OLECGONO_00203	CDS	501	recX		COG2137	Regulatory protein RecX
OLECGONO_00204	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
OLECGONO_00205	CDS	186	csrA		COG1551	Carbon storage regulator
OLECGONO_00206	CDS	90				hypothetical protein
OLECGONO_00207	tRNA	93				tRNA-Ser(gct)
OLECGONO_00208	tRNA	77				tRNA-Arg(acg)
OLECGONO_00209	tRNA	72				tRNA-Arg(tcg)
OLECGONO_00210	tRNA	77				tRNA-Arg(acg)
OLECGONO_00211	tRNA	77				tRNA-Arg(acg)
OLECGONO_00212	tRNA	77				tRNA-Arg(acg)
OLECGONO_00213	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
OLECGONO_00214	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
OLECGONO_00215	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
OLECGONO_00216	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
OLECGONO_00217	CDS	1539	emrB			Multidrug export protein EmrB
OLECGONO_00218	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
OLECGONO_00219	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
OLECGONO_00220	CDS	336				hypothetical protein
OLECGONO_00221	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
OLECGONO_00222	CDS	1185				putative transporter
OLECGONO_00223	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
OLECGONO_00224	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
OLECGONO_00225	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
OLECGONO_00226	CDS	309	nrdF_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
OLECGONO_00227	CDS	621	nrdF_2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
OLECGONO_00228	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
OLECGONO_00229	CDS	402	nrdI		COG1780	Protein NrdI
OLECGONO_00230	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
OLECGONO_00231	CDS	432	ahpD	1.11.1.15		Alkyl hydroperoxide reductase AhpD
OLECGONO_00232	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
OLECGONO_00233	CDS	330	ygaM		COG4575	putative protein YgaM
OLECGONO_00234	CDS	345				hypothetical protein
OLECGONO_00235	CDS	450	alaE			L-alanine exporter AlaE
OLECGONO_00236	CDS	405	stpA		COG2916	DNA-binding protein StpA
OLECGONO_00237	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
OLECGONO_00238	CDS	300	ygaV_1		COG0640	putative HTH-type transcriptional regulator YgaV
OLECGONO_00239	CDS	159				hypothetical protein
OLECGONO_00240	CDS	450	ygaU		COG1652	putative protein YgaU
OLECGONO_00241	CDS	663				hypothetical protein
OLECGONO_00242	CDS	1401	gabP		COG1113	GABA permease
OLECGONO_00243	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
OLECGONO_00244	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
OLECGONO_00245	CDS	1269	lhgO	1.1.3.15	COG0579	L-2-hydroxyglutarate oxidase LhgO
OLECGONO_00246	CDS	978	csiD			Protein CsiD
OLECGONO_00247	CDS	981				hypothetical protein
OLECGONO_00248	CDS	1455				hypothetical protein
OLECGONO_00249	CDS	4575				putative autotransporter
OLECGONO_00250	CDS	576				hypothetical protein
OLECGONO_00251	CDS	603	xerC_1			Tyrosine recombinase XerC
OLECGONO_00252	CDS	1098				hypothetical protein
OLECGONO_00253	CDS	1023				hypothetical protein
OLECGONO_00254	CDS	537	yyaP		COG0262	putative protein YyaP
OLECGONO_00255	CDS	1680	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
OLECGONO_00256	CDS	1527	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
OLECGONO_00257	CDS	843	pgiA	5.3.1.9		Glucose-6-phosphate isomerase
OLECGONO_00258	CDS	567	hxlB	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
OLECGONO_00259	CDS	636	hxlA	4.1.2.43	COG0269	3-hexulose-6-phosphate synthase
OLECGONO_00260	CDS	1152				hypothetical protein
OLECGONO_00261	CDS	1014	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
OLECGONO_00262	CDS	981	srlE_2	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
OLECGONO_00263	CDS	309	srlB_2		COG3731	PTS system glucitol/sorbitol-specific EIIA component
OLECGONO_00264	CDS	522	srlA_2		COG3730	PTS system glucitol/sorbitol-specific EIIC component
OLECGONO_00265	CDS	210				hypothetical protein
OLECGONO_00266	CDS	477				hypothetical protein
OLECGONO_00267	CDS	1284				hypothetical protein
OLECGONO_00268	CDS	1203				hypothetical protein
OLECGONO_00269	CDS	1224				hypothetical protein
OLECGONO_00270	CDS	987				hypothetical protein
OLECGONO_00271	CDS	2070				hypothetical protein
OLECGONO_00272	CDS	216				hypothetical protein
OLECGONO_00273	CDS	393	ligA_1	6.5.1.2	COG0272	DNA ligase
OLECGONO_00274	CDS	540				hypothetical protein
OLECGONO_00275	CDS	1173				hypothetical protein
OLECGONO_00276	CDS	645				hypothetical protein
OLECGONO_00277	CDS	1248	intA_1		COG0582	Prophage integrase IntA
OLECGONO_00278	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
OLECGONO_00279	CDS	126				hypothetical protein
OLECGONO_00280	CDS	483	smpB		COG0691	SsrA-binding protein
OLECGONO_00281	CDS	477	ratA		COG2867	Ribosome association toxin RatA
OLECGONO_00282	CDS	291				hypothetical protein
OLECGONO_00283	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
OLECGONO_00284	CDS	1662	recN		COG0497	DNA repair protein RecN
OLECGONO_00285	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
OLECGONO_00286	CDS	594	grpE			Protein GrpE
OLECGONO_00287	CDS	1242				hypothetical protein
OLECGONO_00288	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
OLECGONO_00289	CDS	1362	ffh		COG0541	Signal recognition particle protein
OLECGONO_00290	CDS	249	rpsP		COG0228	30S ribosomal protein S16
OLECGONO_00291	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
OLECGONO_00292	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
OLECGONO_00293	CDS	348	rplS		COG0335	50S ribosomal protein L19
OLECGONO_00294	CDS	483			COG2885	Outer membrane protein Omp38
OLECGONO_00295	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
OLECGONO_00296	CDS	519				hypothetical protein
OLECGONO_00297	CDS	363				hypothetical protein
OLECGONO_00298	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
OLECGONO_00299	CDS	1122	tyrA		COG0287	T-protein
OLECGONO_00300	CDS	1161	pheA		COG0077	P-protein
OLECGONO_00301	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
OLECGONO_00302	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
OLECGONO_00303	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
OLECGONO_00304	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
OLECGONO_00305	CDS	2574	clpB		COG0542	Chaperone protein ClpB
OLECGONO_00306	rRNA	1538				16S ribosomal RNA
OLECGONO_00307	tRNA	76				tRNA-Glu(ttc)
OLECGONO_00308	rRNA	2901				23S ribosomal RNA
OLECGONO_00309	rRNA	111				5S ribosomal RNA
OLECGONO_00310	CDS	1299	kgtP			Alpha-ketoglutarate permease
OLECGONO_00311	CDS	273				hypothetical protein
OLECGONO_00312	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
OLECGONO_00313	CDS	2661	pka	2.3.1.-	COG0454	Protein lysine acetyltransferase Pka
OLECGONO_00314	CDS	699				hypothetical protein
OLECGONO_00315	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
OLECGONO_00316	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
OLECGONO_00317	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
OLECGONO_00318	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
OLECGONO_00319	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
OLECGONO_00320	CDS	882	yofA		COG0583	HTH-type transcriptional regulator YofA
OLECGONO_00321	CDS	603				hypothetical protein
OLECGONO_00322	CDS	522				hypothetical protein
OLECGONO_00323	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
OLECGONO_00324	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
OLECGONO_00325	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
OLECGONO_00326	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
OLECGONO_00327	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
OLECGONO_00328	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
OLECGONO_00329	CDS	480	rseC		COG3086	Protein RseC
OLECGONO_00330	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
OLECGONO_00331	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
OLECGONO_00332	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
OLECGONO_00333	CDS	906	era_1		COG1159	GTPase Era
OLECGONO_00334	CDS	729	recO		COG1381	DNA repair protein RecO
OLECGONO_00335	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
OLECGONO_00336	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
OLECGONO_00337	CDS	261	yfhL		COG1145	Ferredoxin YfhL
OLECGONO_00338	CDS	849	murR_1		COG1737	HTH-type transcriptional regulator MurR
OLECGONO_00339	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
OLECGONO_00340	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
OLECGONO_00341	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
