# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	35355	36230	+	LBAHFK_00027	535.0	3.5e-193	1.0	1.0	0.983	UniRef:UniRef50_A0A376MIJ5
contig_1	cds	36230	37177	+	LBAHFK_00028	587.0	1.4e-212	0.962	0.924	0.947	UniRef:UniRef50_A0A9Q6Z5Y0
contig_1	cds	37167	37832	+	LBAHFK_00029	329.0	1.3e-114	0.810	1.0	0.994	UniRef:UniRef50_A0A379T9C0
contig_1	cds	37843	38103	+	LBAHFK_00030	169.0	9.4e-55	1.0	0.887	1.0	UniRef:UniRef50_P0A1M4
contig_1	cds	38105	38872	+	LBAHFK_00031	452.0	1.8e-161	0.976	0.940	0.956	UniRef:UniRef50_A0A3P5DV81
contig_1	cds	38881	39993	+	LBAHFK_00032	620.0	2.8e-224	0.959	0.994	0.893	UniRef:UniRef50_P0A1M8
contig_1	cds	40064	40357	-	LBAHFK_00033	177.0	2.0e-57	1.0	0.882	0.969	UniRef:UniRef50_Q3SBC7
contig_1	cds	40359	40859	-	LBAHFK_00034	321.0	2.3e-112	0.994	0.917	0.958	UniRef:UniRef50_Q2TJ93
contig_1	cds	41118	42299	+	LBAHFK_00035	734.0	1.9e-268	0.997	0.985	0.954	UniRef:UniRef50_A0A8T5YF24
contig_1	cds	42313	42552	+	LBAHFK_00036	107.0	2.6e-30	1.0	0.806	0.646	UniRef:UniRef50_B2XU12
contig_1	cds	42572	42904	+	LBAHFK_00037	142.0	2.2e-43	1.0	0.932	0.682	UniRef:UniRef50_A0A2J7KPU0
contig_1	cds	42901	43635	+	LBAHFK_00038	386.0	1.3e-135	1.0	0.957	0.820	UniRef:UniRef50_Q3SBD1
contig_1	cds	43651	44232	+	LBAHFK_00039	329.0	9.4e-115	0.922	0.881	0.904	UniRef:UniRef50_W1WT35
contig_1	cds	44174	44881	+	LBAHFK_00040	460.0	5.3e-165	1.0	0.918	1.0	UniRef:UniRef50_Q46793
contig_1	cds	45104	45736	+	LBAHFK_00041	417.0	8.9e-149	1.0	0.955	0.990	UniRef:UniRef50_Q46791
contig_1	cds	45755	46258	-	LBAHFK_00042	317.0	1.1e-110	1.0	0.928	0.970	UniRef:UniRef50_Q46790
contig_1	cds	46342	46560	-	LBAHFK_00043	142.0	1.8e-44	1.0	0.837	0.986	UniRef:UniRef50_Q46789
contig_1	cds	46728	48104	-	LBAHFK_00044	901.0	0.0	1.0	1.0	0.998	BlastRules:WP_000362668
contig_1	cds	48439	48930	-	LBAHFK_00045	284.0	1.2e-97	0.933	0.844	0.882	UniRef:UniRef50_Q46787
contig_1	cds	49156	49647	-	LBAHFK_00046	309.0	1.4e-107	0.994	0.915	0.975	UniRef:UniRef50_Q46786
contig_1	cds	49803	49898	-	LBAHFK_00047	-	-	-	-	-	-
contig_1	cds	50077	50502	+	LBAHFK_00048	-	-	-	-	-	-
contig_1	cds	50478	50618	+	LBAHFK_00049	-	-	-	-	-	-
contig_1	cds	50651	51133	-	LBAHFK_00050	221.0	6.9e-73	1.0	0.899	0.650	UniRef:UniRef50_Q46943
contig_1	cds	51126	51935	-	LBAHFK_00051	551.0	1.2e-199	0.989	0.914	0.989	UniRef:UniRef50_Q46942
contig_1	cds	52269	52901	-	LBAHFK_00052	312.0	3.7e-107	0.990	0.860	0.692	UniRef:UniRef50_Q46941
contig_1	cds	53361	54590	-	LBAHFK_00053	735.0	8.2e-268	0.978	0.930	0.975	UniRef:UniRef50_P63340
contig_1	cds	54846	56027	+	LBAHFK_00054	469.0	2.0e-162	0.997	0.805	0.622	UniRef:UniRef50_P14611
contig_1	cds	56315	57151	+	LBAHFK_00055	354.0	1.6e-121	1.0	0.917	0.604	UniRef:UniRef50_A0A395L6D2
contig_1	cds	57181	57942	+	LBAHFK_00056	296.0	8.1e-100	1.047	0.989	0.581	UniRef:UniRef50_A0A136WFZ6
contig_1	cds	58257	59675	+	LBAHFK_00057	902.0	0.0	1.0	1.0	1.0	BlastRules:WP_000256438
contig_1	cds	59804	60496	+	LBAHFK_00058	456.0	4.6e-166	1.0	1.0	0.991	BlastRules:WP_000848659
contig_1	cds	60483	61418	-	LBAHFK_00059	583.0	1.7e-213	1.0	1.0	0.974	BlastRules:WP_000741825
contig_1	cds	61540	62802	+	LBAHFK_00060	541.0	6.2e-190	0.974	0.826	0.638	UniRef:UniRef50_Q9ZBH5
contig_1	cds	62809	63840	-	LBAHFK_00061	535.0	1.2e-190	0.968	0.843	0.807	UniRef:UniRef50_P03024
contig_1	ncRNA	64054	64135	+	LBAHFK_00062	86.2	6.4e-15	-	-	-	RFAM:RF00079
contig_1	ncRNA	64251	64338	+	LBAHFK_00063	96.7	4.2e-17	-	-	-	RFAM:RF00079
contig_1	cds	64426	66585	+	LBAHFK_00064	1286.0	0.0	0.997	0.941	0.880	UniRef:UniRef50_P31119
contig_1	cds	66578	67771	+	LBAHFK_00065	723.0	1.7e-263	1.053	1.0	0.933	UniRef:UniRef50_P39196
contig_1	cds	67803	68843	-	LBAHFK_00066	557.0	6.8e-201	0.818	1.0	0.986	UniRef:UniRef50_A0A1B8P770
contig_1	cds	68951	69169	-	LBAHFK_00067	143.0	4.8e-47	1.0	1.0	1.0	BlastRules:WP_000758655
contig_1	cds	69307	70020	-	LBAHFK_00068	405.0	1.5e-142	0.987	0.815	0.940	UniRef:UniRef50_P67127
contig_1	cds	70089	70778	-	LBAHFK_00069	288.0	2.2e-97	0.943	0.889	0.606	UniRef:UniRef50_P06722
contig_1	cds	70964	71110	+	LBAHFK_00070	94.4	3.2e-26	1.0	0.889	0.896	UniRef:UniRef50_A0A385XJL2
contig_1	cds	71463	71993	+	LBAHFK_00071	283.0	2.5e-97	0.994	1.0	0.777	UniRef:UniRef50_C4LD21
contig_1	cds	72006	74252	+	LBAHFK_00072	1345.0	0.0	0.993	0.908	0.941	UniRef:UniRef50_P37177
contig_1	cds	74403	75278	+	LBAHFK_00073	453.0	3.6e-160	0.983	0.875	0.755	UniRef:UniRef50_P60968
contig_1	cds	75285	76079	+	LBAHFK_00074	374.0	2.2e-129	1.034	0.850	0.648	UniRef:UniRef50_P0A884
contig_1	cds	76264	76734	+	LBAHFK_00075	314.0	7.7e-110	1.071	1.0	0.910	UniRef:UniRef50_A0AA86M7P1
contig_1	cds	76725	77288	+	LBAHFK_00076	229.0	1.9e-75	1.0	0.930	0.604	UniRef:UniRef50_P08371
contig_1	cds	77285	77692	+	LBAHFK_00077	161.0	3.7e-50	1.0	0.912	0.593	UniRef:UniRef50_P08370
contig_1	cds	77677	78000	+	LBAHFK_00078	175.0	2.2e-56	1.196	1.0	0.742	UniRef:UniRef50_P08372
contig_1	cds	78013	81381	+	LBAHFK_00079	1841.0	0.0	1.002	0.909	0.782	UniRef:UniRef50_P07648
contig_1	cds	81557	84445	+	LBAHFK_00080	1239.0	0.0	0.988	0.963	0.641	UniRef:UniRef50_Q6D8I0
contig_1	cds	84438	87980	+	LBAHFK_00081	1387.0	0.0	0.996	0.987	0.596	UniRef:UniRef50_A0A379XLC3
contig_1	cds	87980	89806	+	LBAHFK_00082	634.0	5.2e-221	1.074	0.979	0.554	UniRef:UniRef50_B2VFV9
contig_1	cds	89868	91199	-	LBAHFK_00083	858.0	4.6e-315	0.998	0.893	0.991	UniRef:UniRef50_P0A6C5
contig_1	cds	91431	92684	+	LBAHFK_00084	788.0	7.5e-291	1.0	1.0	1.0	BlastRules:WP_000016907
contig_1	tRNA	92759	92835	-	LBAHFK_00085	77.5	-	-	-	-	-
contig_1	tRNA	92868	92944	-	LBAHFK_00086	77.5	-	-	-	-	-
contig_1	tRNA	92978	93054	-	LBAHFK_00087	77.5	-	-	-	-	-
contig_1	cds	93263	94360	+	LBAHFK_00088	593.0	3.7e-213	1.005	0.963	0.766	UniRef:UniRef50_D8MW96
contig_1	ncRNA	94482	94524	+	LBAHFK_00089	46.6	4.8e-06	-	-	-	RFAM:RF02751
contig_1	cds	94599	95405	+	LBAHFK_00090	306.0	2.8e-103	0.974	0.919	0.590	UniRef:UniRef50_D2U281
contig_1	cds	95456	95899	-	LBAHFK_00091	201.0	9.2e-66	0.993	0.980	0.705	UniRef:UniRef50_A0AAP9U5W9
contig_1	cds	95899	97104	-	LBAHFK_00092	549.0	6.9e-195	1.0	0.976	0.691	UniRef:UniRef50_A0A0T9WUR1
contig_1	cds	97296	97523	+	LBAHFK_00093	113.0	6.3e-33	1.0	0.833	0.760	UniRef:UniRef50_P65292
contig_1	ncRNA	97541	97746	-	LBAHFK_00094	199.0	1.9e-26	-	-	-	RFAM:RF00022
contig_1	cds	97875	98792	+	LBAHFK_00095	600.0	1.4e-220	1.0	1.0	1.0	BlastRules:WP_000044401
contig_1	cds	98811	99206	+	LBAHFK_00096	239.0	2.4e-81	1.0	0.985	0.901	UniRef:UniRef50_B5RDV9
contig_1	cds	99199	100299	+	LBAHFK_00097	597.0	4.1e-214	1.137	1.0	0.704	UniRef:UniRef50_P0ADR6
contig_1	cds	100343	101074	-	LBAHFK_00098	311.0	1.5e-105	1.0	0.832	0.667	UniRef:UniRef50_A8AP20
contig_1	cds	101132	101554	-	LBAHFK_00099	249.0	1.1e-84	1.0	0.972	0.886	UniRef:UniRef50_A0A7Y7YN01
contig_1	cds	101556	102974	-	LBAHFK_00100	606.0	1.5e-214	0.994	0.923	0.644	UniRef:UniRef50_P11553
contig_1	cds	103083	104858	-	LBAHFK_00101	934.0	0.0	0.843	0.947	0.924	UniRef:UniRef50_A0A379VKL4
contig_1	cds	104891	106207	-	LBAHFK_00102	749.0	1.6e-273	0.895	0.995	0.990	UniRef:UniRef50_A0A376LAT6
contig_1	cds	106754	107401	+	LBAHFK_00103	337.0	1.3e-116	0.981	0.824	0.773	UniRef:UniRef50_P0AB87
contig_1	cds	107429	108577	+	LBAHFK_00104	417.0	9.3e-143	1.003	0.880	0.567	UniRef:UniRef50_P0A9S1
contig_1	cds	108682	109527	-	LBAHFK_00105	503.0	1.7e-180	0.911	0.839	0.957	UniRef:UniRef50_Q8ZMC9
contig_1	cds	109548	110915	-	LBAHFK_00106	894.0	0.0	1.0	1.0	0.998	BlastRules:WP_000626422
contig_1	cds	110973	112262	-	LBAHFK_00107	805.0	3.8e-297	1.0	1.0	1.0	BlastRules:WP_000450476
contig_1	cds	112819	114183	-	LBAHFK_00108	900.0	0.0	1.0	1.0	1.0	BlastRules:WP_000627995
contig_1	cds	114295	115143	-	LBAHFK_00109	431.0	7.7e-152	1.0	0.895	0.738	UniRef:UniRef50_Q46920
contig_1	cds	115211	115756	+	LBAHFK_00110	221.0	5.3e-72	1.0	0.801	0.586	UniRef:UniRef50_Q6D8F3
contig_1	ncRNA	115976	116335	+	LBAHFK_00111	383.0	1.1e-41	-	-	-	RFAM:RF00018
contig_1	cds	116378	116707	+	LBAHFK_00112	175.0	2.8e-56	1.0	0.813	0.798	UniRef:UniRef50_Q46919
contig_1	cds	116707	117489	+	LBAHFK_00113	367.0	4.1e-127	0.977	0.861	0.689	UniRef:UniRef50_P0AA41
contig_1	cds	117507	117956	+	LBAHFK_00114	197.0	5.4e-64	0.966	0.941	0.646	UniRef:UniRef50_Q47418
contig_1	cds	118451	119803	+	LBAHFK_00115	887.0	0.0	1.0	1.0	0.998	BlastRules:WP_000097072
contig_1	cds	119805	121145	+	LBAHFK_00116	553.0	4.2e-194	1.150	1.002	0.552	UniRef:UniRef50_P0AES2
contig_1	cds	121166	122506	+	LBAHFK_00117	781.0	5.7e-284	1.143	0.996	0.755	UniRef:UniRef50_P0AES2
contig_1	cds	122737	125493	-	LBAHFK_00118	1343.0	0.0	0.834	0.976	0.896	UniRef:UniRef50_A0A379TNR5
contig_1	cds	125550	126851	+	LBAHFK_00119	829.0	5.8e-304	1.0	0.927	0.949	UniRef:UniRef50_P55135
contig_1	cds	126899	129133	+	LBAHFK_00120	938.0	0.0	1.081	1.004	0.595	UniRef:UniRef50_P55133
contig_1	cds	129229	130020	+	LBAHFK_00121	452.0	1.7e-161	0.871	0.939	0.996	UniRef:UniRef50_A0A2X3LT85
contig_1	cds	130248	131885	+	LBAHFK_00122	706.0	2.4e-251	0.994	0.899	0.638	UniRef:UniRef50_Q8P9Z6
contig_1	cds	131972	133270	+	LBAHFK_00123	676.0	5.3e-245	0.840	0.968	0.964	UniRef:UniRef50_A0A447N4P2
contig_1	cds	133330	134244	-	LBAHFK_00124	512.0	1.6e-183	0.888	0.874	1.0	UniRef:UniRef50_Q8X7Q8
contig_1	cds	134241	135389	-	LBAHFK_00125	691.0	9.5e-252	0.963	0.948	0.981	UniRef:UniRef50_A0A0H2VA96
contig_1	cds	135404	136297	-	LBAHFK_00126	433.0	3.1e-152	0.889	0.846	0.818	UniRef:UniRef50_A0A564LTF8
contig_1	cds	136311	136913	-	LBAHFK_00127	370.0	1.1e-130	0.985	0.943	0.975	UniRef:UniRef50_B7LWQ1
contig_1	cds	137086	137757	+	LBAHFK_00128	360.0	2.8e-125	1.0	0.805	0.753	UniRef:UniRef50_P64554
contig_1	cds	139313	140791	-	LBAHFK_00129	984.0	0.0	1.053	1.0	0.929	UniRef:UniRef50_P55138
contig_1	cds	140818	142095	-	LBAHFK_00130	782.0	3.4e-285	1.167	1.0	0.839	UniRef:UniRef50_P77031
contig_1	cds	142414	143199	+	LBAHFK_00131	338.0	5.3e-116	0.992	0.981	0.653	UniRef:UniRef50_A0A376LCW0
contig_1	cds	143269	144723	+	LBAHFK_00132	628.0	1.3e-222	0.994	0.901	0.634	UniRef:UniRef50_R2SDW3
contig_1	cds	144745	146154	+	LBAHFK_00133	872.0	0.0	1.053	1.0	0.923	UniRef:UniRef50_Q46909
contig_1	cds	146132	146911	+	LBAHFK_00134	444.0	7.1e-158	1.100	1.0	0.835	UniRef:UniRef50_Q46908
contig_1	cds	146908	147768	+	LBAHFK_00135	547.0	2.3e-197	1.0	0.867	0.983	UniRef:UniRef50_A0A0B0VZE3
contig_1	cds	147915	148490	-	LBAHFK_00136	288.0	1.6e-98	1.0	1.005	0.780	UniRef:UniRef50_A0A2X3JBU0
contig_1	cds	148507	148767	-	LBAHFK_00137	181.0	2.6e-59	1.0	0.878	0.953	UniRef:UniRef50_A0A0H2V1G2
contig_1	cds	148758	150029	-	LBAHFK_00138	828.0	2.2e-304	1.0	0.977	0.967	UniRef:UniRef50_Q46904
contig_1	cds	150107	150472	-	LBAHFK_00139	171.0	2.0e-54	0.950	0.810	0.661	UniRef:UniRef50_A0A5E6MPV7
contig_1	cds	150788	152587	+	LBAHFK_00140	907.0	0.0	1.022	0.942	0.753	UniRef:UniRef50_Q6D1A1
contig_1	cds	152587	154299	+	LBAHFK_00141	982.0	0.0	1.153	0.995	0.734	UniRef:UniRef50_P0C0B2
contig_1	cds	154373	155107	+	LBAHFK_00142	490.0	6.5e-176	1.0	0.819	0.971	UniRef:UniRef50_P17854
contig_1	ncRNA	155230	155387	+	LBAHFK_00143	111.8	2.6e-18	-	-	-	RFAM:RF01794
contig_1	cds	155372	155524	+	LBAHFK_00144	-	-	-	-	-	-
contig_1	cds	155719	158418	+	LBAHFK_00145	1293.0	0.0	0.984	0.966	0.718	UniRef:UniRef50_A0A839WLL1
contig_1	cds	158516	160078	+	LBAHFK_00146	1024.0	0.0	1.062	1.0	0.913	UniRef:UniRef50_C9XXR1
contig_1	cds	160075	160611	+	LBAHFK_00147	338.0	1.7e-118	0.983	0.902	0.989	UniRef:UniRef50_A0A3P5DSL4
contig_1	cds	160626	161681	+	LBAHFK_00148	545.0	3.3e-196	0.812	1.0	0.986	UniRef:UniRef50_A0A6N3QU73
contig_1	cds	161692	162438	+	LBAHFK_00149	291.0	5.0e-98	1.016	1.004	0.575	UniRef:UniRef50_A7MFL0
contig_1	cds	162420	163070	+	LBAHFK_00150	421.0	1.5e-149	1.0	0.824	0.958	UniRef:UniRef50_A0A233WXS5
contig_1	cds	163067	163666	+	LBAHFK_00151	-	-	-	-	-	-
contig_1	cds	163987	164280	+	LBAHFK_00152	125.0	3.2e-37	0.979	0.905	0.621	UniRef:UniRef50_A0A081NCQ8
contig_1	cds	165524	166561	-	LBAHFK_00153	683.0	5.5e-252	1.0	1.0	0.988	BlastRules:WP_000490428
contig_1	cds	166813	167721	+	LBAHFK_00154	486.0	3.9e-174	1.0	1.208	0.821	UniRef:UniRef50_A0A3D3BEP2
contig_1	cds	167723	169150	+	LBAHFK_00155	750.0	1.5e-271	0.994	0.933	0.794	UniRef:UniRef50_Q8ZBP2
contig_1	cds	169150	169755	+	LBAHFK_00156	318.0	1.3e-109	1.244	1.0	0.676	UniRef:UniRef50_A0A954PMA2
contig_1	cds	169805	170128	+	LBAHFK_00157	179.0	9.8e-58	1.215	1.0	0.762	UniRef:UniRef50_P46141
contig_1	cds	170322	170633	+	LBAHFK_00158	151.0	3.0e-47	0.913	0.847	0.777	UniRef:UniRef50_Q6D1B2
contig_1	cds	170652	171362	+	LBAHFK_00159	411.0	4.5e-145	1.186	0.993	0.761	UniRef:UniRef50_Q46893
contig_1	cds	171362	171841	+	LBAHFK_00160	174.0	2.6e-54	0.987	0.924	0.573	UniRef:UniRef50_B2A4B2
contig_1	cds	171838	172887	+	LBAHFK_00161	368.0	7.3e-125	0.966	0.889	0.567	UniRef:UniRef50_P44039
contig_1	cds	172868	173629	+	LBAHFK_00162	385.0	4.2e-135	0.964	0.946	0.779	UniRef:UniRef50_Q7N8K4
contig_1	cds	173623	174249	+	LBAHFK_00163	269.0	7.6e-90	1.0	0.822	0.625	UniRef:UniRef50_P0A7A5
contig_1	cds	174389	175528	+	LBAHFK_00164	392.0	5.5e-133	1.185	1.011	0.586	UniRef:UniRef50_P0ADA3
contig_1	cds	175591	176583	+	LBAHFK_00165	620.0	2.4e-227	1.0	1.0	0.994	VFDB:VFG000477
contig_1	cds	176704	177111	-	LBAHFK_00166	250.0	2.3e-85	1.0	0.925	0.970	UniRef:UniRef50_Q93CC3
contig_1	cds	177258	177851	+	LBAHFK_00167	322.0	2.1e-112	1.0	1.145	0.853	UniRef:UniRef50_A0A2X4TIG3
contig_1	cds	177851	179278	+	LBAHFK_00168	621.0	7.3e-221	0.996	0.967	0.645	UniRef:UniRef50_A0A1M6ATN9
contig_1	cds	179289	179525	+	LBAHFK_00169	129.0	2.6e-39	0.936	0.973	0.822	UniRef:UniRef50_A0A2X1QH26
contig_1	cds	179567	180235	-	LBAHFK_00170	347.0	1.3e-120	0.856	0.812	0.853	UniRef:UniRef50_P55799
contig_1	cds	180248	181111	-	LBAHFK_00171	488.0	3.1e-174	0.993	0.925	0.996	UniRef:UniRef50_A0A1U9STQ1
contig_1	cds	181216	183777	-	LBAHFK_00172	1382.0	0.0	0.994	0.915	0.837	UniRef:UniRef50_P23909
contig_1	cds	183853	183987	+	LBAHFK_00173	-	-	-	-	-	-
contig_1	cds	184064	184408	+	LBAHFK_00174	181.0	1.5e-58	1.0	0.820	0.737	UniRef:UniRef50_P25728
contig_1	cds	184447	184875	-	LBAHFK_00175	256.0	3.0e-87	1.0	0.916	1.0	UniRef:UniRef50_A0A198FWZ3
contig_1	cds	184920	186998	-	LBAHFK_00176	657.0	2.3e-227	1.026	0.943	0.517	UniRef:UniRef50_E5YKN8
contig_1	cds	187072	188082	-	LBAHFK_00177	650.0	2.5e-239	1.0	1.0	0.994	BlastRules:WP_001059922
contig_1	cds	188079	189200	-	LBAHFK_00178	444.0	2.1e-153	0.981	0.826	0.566	UniRef:UniRef50_A0A6L5Z5E1
contig_1	cds	189200	189472	-	LBAHFK_00179	186.0	9.8e-64	1.0	1.0	1.0	BlastRules:WP_000334881
contig_1	cds	189463	190335	-	LBAHFK_00180	334.0	8.7e-113	1.169	0.977	0.534	UniRef:UniRef50_A0A5C1PZE3
contig_1	cds	190339	190689	-	LBAHFK_00181	152.0	2.1e-47	0.983	0.974	0.649	UniRef:UniRef50_A0A0F7HEE6
contig_1	cds	190901	191362	+	LBAHFK_00182	280.0	1.7e-96	0.993	0.981	0.888	UniRef:UniRef50_A0A659S3T9
contig_1	cds	191487	192098	+	LBAHFK_00183	402.0	1.8e-145	1.0	1.0	1.0	BlastRules:WP_001079186
contig_1	cds	192095	193921	+	LBAHFK_00184	1118.0	0.0	1.051	1.0	0.936	UniRef:UniRef50_A0A3P6LZW4
contig_1	cds	193924	194847	+	LBAHFK_00185	582.0	3.5e-213	1.0	1.0	0.997	BlastRules:WP_000115224
contig_1	cds	194865	196574	+	LBAHFK_00186	1161.0	0.0	1.0	1.0	0.998	BlastRules:WP_001288122
contig_1	cds	196584	197126	+	LBAHFK_00187	335.0	7.5e-120	1.0	1.0	0.989	BlastRules:WP_000493781
contig_1	cds	197126	197893	+	LBAHFK_00188	517.0	3.6e-189	1.0	1.0	0.992	BlastRules:WP_000067392
contig_1	cds	197890	198300	+	LBAHFK_00189	271.0	8.0e-96	1.0	1.0	0.985	BlastRules:WP_001291921
contig_1	cds	198293	198763	+	LBAHFK_00190	251.0	5.5e-85	0.936	0.820	0.829	UniRef:UniRef50_P0AEV9
contig_1	cds	198921	200345	-	LBAHFK_00191	967.0	0.0	1.0	1.0	0.983	BlastRules:WP_000110363
contig_1	cds	200354	201811	-	LBAHFK_00192	843.0	7.3e-308	0.998	0.934	0.930	UniRef:UniRef50_P24241
contig_1	cds	202068	203081	+	LBAHFK_00193	637.0	3.9e-234	0.997	1.0	0.985	BlastRules:WP_001394680
contig_1	cds	203230	203757	+	LBAHFK_00194	332.0	3.4e-116	0.989	0.920	0.908	UniRef:UniRef50_A0A3P2EL24
contig_1	cds	203910	206150	+	LBAHFK_00195	978.0	0.0	0.988	0.938	0.704	UniRef:UniRef50_A0A447V8T3
contig_1	cds	206228	207361	-	LBAHFK_00196	695.0	3.0e-253	1.048	1.0	0.927	UniRef:UniRef50_P37596
contig_1	cds	207358	208797	-	LBAHFK_00197	872.0	0.0	1.008	1.0	0.859	UniRef:UniRef50_G5GIV7
contig_1	cds	208984	210498	+	LBAHFK_00198	954.0	0.0	1.032	0.875	0.962	UniRef:UniRef50_P37013
contig_1	cds	210495	211460	-	LBAHFK_00199	359.0	1.8e-122	0.997	0.955	0.566	UniRef:UniRef50_A0A0E3U4T5
contig_1	cds	211453	212226	-	LBAHFK_00200	500.0	1.5e-182	1.0	1.0	0.996	BlastRules:WP_000804550
contig_1	cds	212293	212652	-	LBAHFK_00201	206.0	1.1e-68	0.882	1.0	0.952	UniRef:UniRef50_A0A376LAF6
contig_1	cds	212758	213537	-	LBAHFK_00202	410.0	1.4e-144	1.0	0.932	0.819	UniRef:UniRef50_P05707
contig_1	cds	213541	213912	-	LBAHFK_00203	155.0	3.3e-48	0.959	0.929	0.644	UniRef:UniRef50_A0A0D7LMP5
contig_1	cds	213923	214882	-	LBAHFK_00204	617.0	1.7e-226	1.0	1.0	0.991	BlastRules:WP_000148878
contig_1	cds	214879	215442	-	LBAHFK_00205	379.0	7.5e-137	1.0	1.0	1.0	BlastRules:WP_000573321
contig_1	cds	215593	216783	+	LBAHFK_00206	605.0	6.6e-217	0.992	0.961	0.766	UniRef:UniRef50_P41052
contig_1	cds	216928	217425	+	LBAHFK_00207	206.0	3.0e-67	0.982	1.0	0.667	UniRef:UniRef50_A0AAD2UXF8
contig_1	cds	217505	218566	+	LBAHFK_00208	552.0	7.1e-198	0.935	0.943	0.842	UniRef:UniRef50_A0AA87C387
contig_1	cds	218635	219135	+	LBAHFK_00209	301.0	1.3e-104	1.0	0.927	0.873	UniRef:UniRef50_P33596
contig_1	cds	219263	221893	+	LBAHFK_00210	1371.0	0.0	0.999	0.939	0.795	UniRef:UniRef50_Q8ZBT8
contig_1	cds	222128	222313	+	LBAHFK_00211	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_1	cds	222310	222399	-	LBAHFK_00212	-	-	-	-	-	-
contig_1	tRNA	222629	222721	+	LBAHFK_00213	83.4	-	-	-	-	-
contig_1	tRNA	222725	222801	+	LBAHFK_00214	85.1	-	-	-	-	-
contig_1	tRNA	223000	223076	+	LBAHFK_00215	85.1	-	-	-	-	-
